所属概念数量,股票代码,market_code,所属概念,code
4.0,603823.SH,17,光刻胶;PEEK材料;钠离子电池;沪股通,603823
4.0,003030.SZ,33,人造肉;网红经济;共同富裕示范区;宠物经济,003030
15.0,002430.SZ,33,煤化工概念;天然气;高压氧舱;氢能源;国企改革;可控核聚变;一带一路;深股通;超导概念;高端装备;储能;商业航天;存储芯片;芯片概念;融资融券,002430
3.0,605318.SH,17,智能家居;长三角一体化;装配式建筑,605318
6.0,002636.SZ,33,PCB概念;2025年报预增;医疗器械概念;消毒剂;深股通;融资融券,002636
8.0,002971.SZ,33,氟化工概念;有机硅概念;天然气;氢能源;燃料电池;专精特新;芯片概念;深股通,002971
13.0,003043.SZ,33,光刻机;芯片概念;专精特新;高端装备;高铁;储能;固态电池;智能电网;数字经济;智能物流;医疗器械概念;深股通;股权转让(并购重组),003043
16.0,002585.SZ,33,PET铜箔;OLED;柔性屏(折叠屏);消费电子概念;小米概念;华为概念;新能源汽车;光伏概念;锂电池概念;建筑节能;区块链;可降解塑料;绿色电力;参股银行;融资融券;深股通,002585
11.0,000970.SZ,33,稀土永磁;新能源汽车;机器人概念;苹果概念;小金属概念;2025年报预增;人民币贬值受益;国企改革;深股通;融资融券;中字头股票,000970
29.0,600378.SH,17,氟化工概念;PVDF概念;磷化工;钠离子电池;固态电池;锂电池概念;2026一季报预增;新能源汽车;国产航母;PCB概念;燃料电池;液冷服务器;中芯国际概念;芯片概念;俄乌冲突概念;氢能源;军工;大飞机;西部大开发;商业航天;碳中和;国企改革;页岩气;央企国企改革;碳交易;煤化工概念;股权转让(并购重组);沪股通;融资融券,600378
28.0,603220.SH,17,算力租赁;华为昇腾;东数西算(算力);智慧政务;数据中心(AIDC);AI智能体;AI应用;智慧城市;车联网(车路协同);6G概念;华为概念;DeepSeek概念;卫星导航;人工智能;低空经济;5G;F5G概念;充电桩;共享单车;新能源汽车;储能;光伏概念;共封装光学(CPO);光纤概念;一带一路;锂电池概念;沪股通;融资融券,603220
14.0,002081.SZ,33,新型城镇化;装配式建筑;光伏建筑一体化;PPP概念;长三角一体化;一带一路;人工智能;数据中心(AIDC);数字孪生;智能家居;深股通;融资融券;第三代半导体;芯片概念,002081
27.0,603011.SH,17,可控核聚变;核电;煤炭概念;共封装光学(CPO);海工装备;商业航天;食品安全;军工;航空发动机;新型烟草(电子烟);PCB概念;高端装备;东数西算(算力);固废处理;工业母机;工业互联网;农机;新能源汽车;人工智能;氢能源;比亚迪概念;机器视觉;新型工业化;家用电器;特斯拉概念;沪股通;融资融券,603011
31.0,002261.SZ,33,华为欧拉;华为昇腾;云计算;华为鲲鹏;华为盘古;智慧政务;国产操作系统;信创;鸿蒙概念;东数西算(算力);蚂蚁集团概念;AI应用;阿里巴巴概念;虚拟数字人;移动支付;在线教育;DeepSeek概念;智慧城市;车联网(车路协同);人工智能;物联网;智能医疗;托育服务;华为概念;工业互联网;华为海思概念股;手机游戏;机器人概念;三胎概念;深股通;融资融券,002261
40.0,002657.SZ,33,数字货币;Web3.0;ChatGPT概念;财税数字化;虚拟数字人;移动支付;华为鲲鹏;AIGC概念;互联网金融;鸿蒙概念;智慧政务;区块链;在线教育;数据确权;信创;AI应用;元宇宙;智谱AI;多模态AI;AI智能体;百度概念;数字经济;语音技术;短剧游戏;腾讯概念;阿里巴巴概念;智慧城市;DeepSeek概念;化债概念(AMC概念);人工智能;京津冀一体化;工业互联网;算力租赁;华为概念;东数西算(算力);智能座舱;数据中心(AIDC);期货概念;深股通;融资融券,002657
9.0,600058.SH,17,小金属概念;一带一路;乡村振兴;央企国企改革;国企改革;统一大市场;融资融券;股权转让(并购重组);沪股通,600058
3.0,603065.SH,17,专精特新;职业教育;光伏概念,603065
15.0,002409.SZ,33,存储芯片;国家大基金持股;中芯国际概念;先进封装;OLED;光刻胶;芯片概念;特高压;专精特新;氟化工概念;海工装备;磷化工;深股通;天然气;融资融券,002409
8.0,001316.SZ,33,航空发动机;大飞机;商业航天;低空经济;AI眼镜;海峡两岸;2025年报预增;消毒剂,001316
7.0,603661.SH,17,培育钻石;芯片概念;智能家居;人民币贬值受益;一带一路;跨境电商;沪股通,603661
20.0,600206.SH,17,光纤概念;国家大基金持股;存储芯片;先进封装;中芯国际概念;芯片概念;OLED;稀土永磁;5G;军工;华为概念;2025年报预增;牙科医疗;医疗器械概念;京津冀一体化;央企国企改革;雄安新区;国企改革;沪股通;融资融券,600206
30.0,603160.SH,17,MCU芯片;汽车芯片;AI手机;中芯国际概念;芯片概念;OLED;汽车电子;AI眼镜;智能穿戴;传感器;智能座舱;消费电子概念;无线耳机;星闪概念;小米概念;电子纸;虚拟现实;物联网;华为概念;新能源汽车;长安汽车概念;粤港澳大湾区;智能家居;人工智能;人脸识别;鸿蒙概念;AI应用;智能医疗;沪股通;融资融券,603160
10.0,603938.SH,17,光纤概念;存储芯片;芯片概念;有机硅概念;光伏概念;硅能源;海峡两岸;京津冀一体化;沪股通;融资融券,603938
11.0,000048.SZ,33,养鸡;文化传媒概念;乡村振兴;猪肉;物业管理;IP经济(谷子经济);粤港澳大湾区;机器人概念;人形机器人;融资融券;深股通,000048
34.0,605589.SH,17,超级电容;PCB概念;先进封装;光刻胶;OLED;存储芯片;6G概念;芯片概念;固态电池;石墨烯;丙烯酸;锂电池概念;钠离子电池;3D打印;储能;商业航天;新能源汽车;军工;硅能源;核电;高端装备;染料;代糖概念;风电;大飞机;高铁;建筑节能;绿色电力;光伏建筑一体化;合成生物;CRO概念;创新药;沪股通;融资融券,605589
9.0,002208.SZ,33,独角兽概念;新型城镇化;创投;长三角一体化;租售同权;养老概念;物业管理;国企改革;深股通,002208
3.0,002830.SZ,33,物业管理;粤港澳大湾区;华为概念,002830
7.0,000025.SZ,33,物业管理;深圳国企改革;国企改革;粤港澳大湾区;黄金概念;深股通;融资融券,000025
25.0,002757.SZ,33,算力租赁;东数西算(算力);云计算;网络安全;数据中心(AIDC);抖音概念(字节概念);腾讯概念;阿里巴巴概念;AIGC概念;华为概念;AI智能体;AI应用;专精特新;数字经济;新型工业化;人工智能;工业母机;数字孪生;机器人概念;粤港澳大湾区;工业互联网;智能家居;海峡两岸;中俄贸易概念;深股通,002757
6.0,000029.SZ,33,深圳国企改革;粤港澳大湾区;物业管理;国企改革;深股通;融资融券,000029
10.0,001210.SZ,33,建筑节能;新疆振兴;液冷服务器;数据确权;数据中心(AIDC);工业互联网;储能;京津冀一体化;量子科技;2025年报预增,001210
14.0,603687.SH,17,钙钛矿电池;数字水印;烟草;光伏概念;AIGC概念;芯片概念;数字孪生;工业互联网;锂电池概念;共同富裕示范区;物联网;ChatGPT概念;DeepSeek概念;人工智能,603687
17.0,002459.SZ,33,TOPCON电池;硅能源;HJT电池;BC电池;绿色电力;钙钛矿电池;风电;雄安新区;储能;京津冀一体化;光伏概念;DeepSeek概念;一带一路;人民币贬值受益;比亚迪概念;融资融券;深股通,002459
5.0,600573.SH,17,啤酒概念;合成生物;旅游概念;国企改革;海峡两岸,600573
11.0,000815.SZ,33,算力租赁;东数西算(算力);云计算;国资云;数据中心(AIDC);绿色电力;央企国企改革;西部大开发;国企改革;深股通;融资融券,000815
4.0,603886.SH,17,高股息精选;长三角一体化;IP经济(谷子经济);海峡两岸,603886
14.0,600178.SH,17,兵装重组概念;长安汽车概念;减速器;华为汽车;国企改革;低空经济;飞行汽车(eVTOL);无人机;2025年报预增;黑龙江自贸区;央企国企改革;新能源汽车;华为概念;沪股通,600178
22.0,002960.SZ,33,机器视觉;安防;无人机;机器人概念;智慧城市;物联网;人工智能;人形机器人;智能家居;跨境电商;传感器;阿里巴巴概念;新型城镇化;快手概念;核电;储能;氢能源;数据中心(AIDC);芯片概念;MCU芯片;融资融券;深股通,002960
6.0,300334.SZ,33,净水概念;垃圾分类;雄安新区;污水处理;京津冀一体化;PPP概念,300334
6.0,002165.SZ,33,环氧丙烷;水泥概念;建筑节能;医疗器械概念;深股通;融资融券,002165
15.0,600881.SH,17,物业管理;体育产业;水泥概念;参股银行;国企改革;医疗器械概念;医药电商;参股券商;禽流感;生物疫苗;创新药;煤炭概念;沪股通;融资融券;股权转让(并购重组),600881
9.0,600698.SH,17,兵装重组概念;国企改革;高铁;央企国企改革;长安汽车概念;汽车热管理;新能源汽车;融资融券;沪股通,600698
13.0,601678.SH,17,环氧丙烷;氟化工概念;煤化工概念;消毒剂;氢能源;锂电池概念;燃料电池;参股银行;绿色电力;参股保险;芯片概念;沪股通;融资融券,601678
13.0,000558.SZ,33,冰雪产业;体育产业;旅游概念;文化传媒概念;短剧游戏;电子竞技;PPP概念;租售同权;创投;国企改革;西部大开发;深股通;融资融券,000558
16.0,300400.SZ,33,富士康概念;柔性屏(折叠屏);MicroLED概念;MiniLED;消费电子概念;PCB概念;新型工业化;机器视觉;芯片概念;OLED;先进封装;第三代半导体;华为概念;比亚迪概念;人工智能;深股通,300400
6.0,300401.SZ,33,维生素;合成生物;仿制药一致性评价;专精特新;融资融券;深股通,300401
17.0,603186.SH,17,PCB概念;先进封装;MiniLED;芯片概念;消费电子概念;5G;6G概念;毫米波雷达;固态电池;锂电池概念;石墨烯;华为概念;海峡两岸;储能;冷链物流;绿色电力;沪股通,603186
16.0,300283.SZ,33,PCB概念;工业母机;消费电子概念;芯片概念;数据中心(AIDC);比亚迪概念;专精特新;第三代半导体;智能电网;新能源汽车;锂电池概念;光伏概念;储能;固态电池;光伏建筑一体化;医疗器械概念,300283
2.0,300521.SZ,33,3D打印;柔性屏(折叠屏),300521
29.0,603859.SH,17,军工信息化;航空发动机;新型工业化;智谱AI;数字孪生;ChatGPT概念;信创;人形机器人;大飞机;AI智能体;AIGC概念;云计算;商业航天;军民融合;数据要素;军工;AI应用;工业互联网;人工智能;华为概念;高端装备;比亚迪概念;DeepSeek概念;数字经济;东数西算(算力);核电;5G;京津冀一体化;沪股通,603859
10.0,688061.SH,17,芯片概念;传感器;MCU芯片;消费电子概念;小米概念;先进封装;无人机;机器人概念;新能源汽车;融资融券,688061
11.0,688767.SH,17,脑机接口;人民币贬值受益;医疗器械概念;幽门螺杆菌概念;辅助生殖;猴痘概念;芬太尼;流感;肝炎概念;沪股通;融资融券,688767
18.0,601012.SH,17,硅能源;HJT电池;TOPCON电池;光伏建筑一体化;BC电池;钙钛矿电池;绿色电力;氢能源;同花顺漂亮100;光伏概念;储能;西部大开发;百度概念;证金持股;华为概念;特斯拉概念;沪股通;融资融券,601012
12.0,301182.SZ,33,铜缆高速连接;消费电子概念;光纤概念;专精特新;新能源汽车;高压快充;华为概念;安防;机器人概念;充电桩;一带一路;融资融券,301182
14.0,300665.SZ,33,有机硅概念;新型城镇化;专精特新;水利;地下管网;光伏建筑一体化;高铁;光伏概念;新能源汽车;一带一路;核电;农业种植;风电;股权转让(并购重组),300665
7.0,301502.SZ,33,小米概念;机器人概念;家用电器;智能家居;医疗器械概念;养老概念;融资融券,301502
12.0,688689.SH,17,第三代半导体;汽车芯片;芯片概念;先进封装;传感器;专精特新;汽车电子;比亚迪概念;5G;无人驾驶;新能源汽车;融资融券,688689
15.0,300656.SZ,33,汽车芯片;第三代半导体;芯片概念;传感器;机器视觉;华为概念;比亚迪概念;无人机;光伏概念;特高压;电子身份证;粤港澳大湾区;海峡两岸;储能;人工智能,300656
24.0,001696.SZ,33,农机;军民融合;航空发动机;两轮车;乡村振兴;数字经济;军工;低空经济;飞行汽车(eVTOL);无人机;西部大开发;工业互联网;燃料电池;商业航天;机器人概念;氢能源;专精特新;新能源汽车;比亚迪概念;储能;锂电池概念;钠离子电池;深股通;融资融券,001696
3.0,920339.BJ,151,人民币贬值受益;融资融券;一带一路,920339
7.0,301161.SZ,33,机器人概念;农机;2025年报预增;海工装备;芯片概念;股权转让(并购重组);融资融券,301161
22.0,688629.SH,17,共封装光学(CPO);铜缆高速连接;5G;卫星导航;高压快充;数据中心(AIDC);商业航天;华为概念;无人机;军工;比亚迪概念;低空经济;新能源汽车;机器人概念;核电;阿里巴巴概念;腾讯概念;高铁;西部大开发;国企改革;沪股通;融资融券,688629
4.0,603722.SH,17,丙烯酸;燃料电池;人民币贬值受益;专精特新,603722
6.0,000608.SZ,33,物业管理;租售同权;西部大开发;粤港澳大湾区;摘帽;股权转让(并购重组),000608
3.0,920261.BJ,151,融资融券;环氧丙烷;体育产业,920261
8.0,688628.SH,17,芯片概念;核污染防治;PM2.5;光伏概念;人民币贬值受益;AI智能体;DeepSeek概念;融资融券,688628
10.0,300893.SZ,33,华为汽车;智能座舱;新能源汽车;网络安全;比亚迪概念;专精特新;一带一路;汽车电子;深股通;融资融券,300893
13.0,300666.SZ,33,光刻机;存储芯片;中芯国际概念;OLED;第三代半导体;芯片概念;光伏概念;碳纤维;海峡两岸;共同富裕示范区;深股通;中韩自贸区;融资融券,300666
11.0,688020.SH,17,PET铜箔;PCB概念;华为手机;先进封装;消费电子概念;5G;小米概念;稀土永磁;专精特新;华为概念;融资融券,688020
6.0,301630.SZ,33,PCB概念;专精特新;注册制次新股;深股通;新股与次新股;融资融券,301630
9.0,002141.SZ,33,创投;粤港澳大湾区;独角兽概念;锂电池概念;横琴新区;广东自贸区;动物疫苗;PCB概念;摘帽,002141
14.0,688181.SH,17,OLED;光刻胶;先进封装;柔性屏(折叠屏);AI眼镜;消费电子概念;液冷服务器;专精特新;染料;氟化工概念;云计算;京津冀一体化;创新药;融资融券,688181
18.0,300671.SZ,33,汽车芯片;MCU芯片;第三代半导体;WiFi 6;存储芯片;MiniLED;芯片概念;5G;先进封装;无线耳机;毫米波雷达;新型烟草(电子烟);专精特新;智能家居;粤港澳大湾区;海峡两岸;深股通;融资融券,300671
10.0,688602.SH,17,光刻胶;超级电容;有机硅概念;OLED;锂电池概念;固态电池;氟化工概念;CRO概念;减肥药;融资融券,688602
10.0,603929.SH,17,中芯国际概念;柔性屏(折叠屏);富士康概念;OLED;芯片概念;2026一季报预增;海峡两岸;华为概念;长三角一体化;沪股通,603929
15.0,300812.SZ,33,共封装光学(CPO);先进封装;第三代半导体;MicroLED概念;OLED;芯片概念;MiniLED;柔性屏(折叠屏);工业母机;消费电子概念;商业航天;MR(混合现实);专精特新;华为概念;医疗器械概念,300812
7.0,688300.SH,17,先进封装;存储芯片;芯片概念;新能源汽车;专精特新;沪股通;融资融券,688300
10.0,301252.SZ,33,液冷服务器;专精特新;汽车热管理;数据中心(AIDC);空气能热泵;新能源汽车;长安汽车概念;冷链物流;人形机器人;融资融券,301252
17.0,688386.SH,17,机器人概念;专精特新;小米汽车;新能源汽车;宁德时代概念;物联网;消费电子概念;智能穿戴;低空经济;军工;商业航天;燃料电池;钙钛矿电池;可控核聚变;氢能源;沪股通;融资融券,688386
16.0,002361.SZ,33,航空发动机;卫星导航;商业航天;军民融合;军工;3D打印;无人机;低空经济;高铁;高端装备;石墨烯;污水处理;国企改革;深股通;股权转让(并购重组);融资融券,002361
21.0,688599.SH,17,BC电池;HJT电池;TOPCON电池;钙钛矿电池;虚拟电厂;光伏建筑一体化;储能;光伏概念;东数西算(算力);锂电池概念;DeepSeek概念;绿色电力;华为概念;智能家居;机器人概念;氢能源;一带一路;商业航天;同花顺漂亮100;沪股通;融资融券,688599
29.0,301313.SZ,33,军工信息化;空间计算;数字孪生;智谱AI;华为鲲鹏;物联网;智慧政务;ChatGPT概念;智慧城市;虚拟现实;低空经济;数据要素;元宇宙;车联网(车路协同);百度概念;AIGC概念;AI应用;虚拟数字人;人工智能;机器人概念;数据中心(AIDC);数字经济;水利;智能医疗;污水处理;地下管网;IP经济(谷子经济);旅游概念;融资融券,301313
6.0,600749.SH,17,冰雪产业;旅游概念;IP经济(谷子经济);文化传媒概念;露营经济;西部大开发,600749
5.0,301176.SZ,33,PCB概念;MiniLED;汽车电子;锂电池概念;融资融券,301176
11.0,688383.SH,17,MicroLED概念;MiniLED;先进封装;芯片概念;商业航天;人形机器人;华为概念;机器人概念;锂电池概念;沪股通;融资融券,688383
6.0,603281.SH,17,硅能源;有机硅概念;光伏概念;人民币贬值受益;高股息精选;沪股通,603281
6.0,603004.SH,17,染料;人民币贬值受益;专精特新;商业航天;沪股通;融资融券,603004
3.0,603226.SH,17,智能家居;沪股通;股权转让(并购重组),603226
12.0,603663.SH,17,稀土永磁;芯片概念;小金属概念;宁德时代概念;固态电池;一体化压铸;核电;专精特新;海峡两岸;氢能源;沪股通;融资融券,603663
7.0,300985.SZ,33,燃料电池;氢能源;石墨烯;新能源汽车;锂电池概念;天然气;融资融券,300985
8.0,603379.SH,17,PVDF概念;氟化工概念;锂电池概念;2025年报预增;光伏概念;芯片概念;沪股通;融资融券,603379
15.0,600160.SH,17,PVDF概念;氟化工概念;消毒剂;煤化工概念;锂电池概念;2025年报预增;国企改革;液冷服务器;碳交易;数据中心(AIDC);风电;绿色电力;中芯国际概念;融资融券;沪股通,600160
17.0,600567.SH,17,参股银行;污水处理;固废处理;一带一路;智能物流;碳交易;创投;碳中和;数字经济;生物质能发电;工业互联网;储能;无人驾驶;比亚迪概念;小米概念;沪股通;融资融券,600567
13.0,600721.SH,17,细胞免疫治疗;肝炎概念;CRO概念;创新药;流感;合成生物;物业管理;减肥药;青蒿素;西部大开发;新疆振兴;国企改革;股权转让(并购重组),600721
9.0,000415.SZ,33,参股保险;人民币贬值受益;雄安新区;西部大开发;低空经济;飞行汽车(eVTOL);新疆振兴;深股通;融资融券,000415
14.0,300190.SZ,33,专精特新;垃圾分类;土壤修复;污水处理;机器人概念;碳中和;数字孪生;固废处理;PPP概念;液冷服务器;碳交易;生物质能发电;天然气;煤化工概念,300190
16.0,300706.SZ,33,PET铜箔;存储芯片;OLED;第三代半导体;芯片概念;消费电子概念;钙钛矿电池;专精特新;超导概念;HJT电池;光伏概念;海峡两岸;福建自贸区;小金属概念;钒电池;深股通,300706
17.0,300070.SZ,33,乡村振兴;参股银行;PPP概念;雄安新区;国企改革;地下管网;新型城镇化;污水处理;净水概念;创投;一带一路;人工智能;央企国企改革;家用电器;盐湖提锂;深股通;融资融券,300070
23.0,002181.SZ,33,足球概念;广东自贸区;短剧游戏;体育产业;网红经济;文化传媒概念;IP经济(谷子经济);虚拟数字人;职业教育;AIGC概念;旅游概念;AI应用;互联网金融;数字经济;独角兽概念;智慧政务;人工智能;创投;国企改革;参股券商;粤港澳大湾区;融资融券;深股通,002181
10.0,603650.SH,17,光刻胶;中芯国际概念;存储芯片;OLED;芯片概念;石墨烯;上海自贸区;可降解塑料;融资融券;沪股通,603650
24.0,300976.SZ,33,柔性屏(折叠屏);苹果概念;消费电子概念;芯片概念;智能穿戴;汽车电子;小米概念;液冷服务器;虚拟现实;比亚迪概念;特斯拉概念;碳纤维;新能源汽车;华为概念;光伏概念;脑机接口;东数西算(算力);宁德时代概念;粤港澳大湾区;抖音概念(字节概念);储能;创投;深股通;融资融券,300976
15.0,300435.SZ,33,天然气;俄乌冲突概念;煤化工概念;新疆振兴;氢能源;共同富裕示范区;一带一路;碳中和;海峡两岸;储能;高端装备;可控核聚变;商业航天;芯片概念;深股通,300435
8.0,300604.SZ,33,国家大基金持股;存储芯片;芯片概念;专精特新;2025年报预增;海峡两岸;融资融券;深股通,300604
16.0,688168.SH,17,网络安全;信创;国产操作系统;云计算;数据安全;东数西算(算力);AI智能体;数据中心(AIDC);百度概念;华为概念;人工智能;换电概念;DeepSeek概念;专精特新;沪股通;融资融券,688168
