股票代码,所属概念数量,market_code,code,所属概念
301051.SZ,6,33,301051,柔性屏(折叠屏);智能穿戴;消费电子概念;储能;深股通;融资融券
300503.SZ,22,33,300503,减速器;工业母机;人形机器人;新型工业化;机器人概念;传感器;富士康概念;高端装备;新能源汽车;比亚迪概念;商业航天;专精特新;燃料电池;人工智能;PCB概念;海峡两岸;粤港澳大湾区;芯片概念;氢能源;光伏概念;融资融券;深股通
300817.SZ,10,33,300817,减速器;机器人概念;军工;特斯拉概念;两轮车;专精特新;新能源汽车;商业航天;长三角一体化;风电
688523.SH,9,17,688523,航空发动机;卫星导航;大飞机;商业航天;无人机;低空经济;专精特新;沪股通;融资融券
300403.SZ,19,33,300403,减速器;人形机器人;汽车热管理;机器人概念;家用电器;机器视觉;新能源汽车;智能家居;传感器;腾讯概念;小米概念;一带一路;垃圾分类;粤港澳大湾区;汽车电子;充电桩;高压快充;深股通;融资融券
300163.SZ,3,33,300163,建筑节能;专精特新;人民币贬值受益
301225.SZ,12,33,301225,汽车热管理;华为汽车;PEEK材料;车联网(车路协同);比亚迪概念;专精特新;新能源汽车;医疗器械概念;燃料电池;氢能源;深股通;融资融券
300777.SZ,9,33,300777,碳纤维;军民融合;商业航天;军工;无人机;人形机器人;专精特新;融资融券;深股通
300660.SZ,20,33,300660,减速器;人形机器人;汽车热管理;机器人概念;家用电器;无人驾驶;新能源汽车;比亚迪概念;物联网;华为概念;军工;军民融合;一带一路;宁德时代概念;储能;数据中心(AIDC);液冷服务器;芯片概念;深股通;融资融券
301368.SZ,11,33,301368,减速器;人形机器人;农机;机器人概念;飞行汽车(eVTOL);低空经济;新能源汽车;智能座舱;专精特新;深股通;融资融券
688636.SH,11,17,688636,军工信息化;卫星导航;商业航天;无人机;军工;华为昇腾;专精特新;DeepSeek概念;西部大开发;沪股通;融资融券
920932.BJ,27,151,920932,AI应用;知识产权保护;华为盘古;人形机器人;智慧城市;ERP概念;工业互联网;储能;新型工业化;机器人概念;数字经济;换电概念;碳中和;钠离子电池;融资融券;华为鲲鹏;无人驾驶;机器视觉;智慧政务;专精特新;华为概念;DeepSeek概念;充电桩;人工智能;信创;物联网;5G
300549.SZ,9,33,300549,家用电器;医疗器械概念;长安汽车概念;机器人概念;海峡两岸;减速器;比亚迪概念;新能源汽车;特斯拉概念
688114.SH,11,17,688114,基因测序;脑机接口;智能医疗;AI智能体;合成生物;机器人概念;医疗器械概念;AI应用;重组蛋白;沪股通;融资融券
688270.SH,10,22,688270,6G概念;军工信息化;卫星导航;商业航天;军民融合;军工;无人机;芯片概念;共封装光学(CPO);ST板块
300607.SZ,27,33,300607,人形机器人;工业母机;新型工业化;机器视觉;华为欧拉;机器人概念;智谱AI;飞行汽车(eVTOL);新能源汽车;高端装备;比亚迪概念;华为鲲鹏;低空经济;工业互联网;无人机;人工智能;阿里巴巴概念;华为概念;物联网;富士康概念;粤港澳大湾区;光伏概念;宁德时代概念;一带一路;锂电池概念;融资融券;深股通
688322.SH,32,17,688322,人形机器人;新型工业化;同花顺新质50;MLOps概念;机器视觉;空间计算;传感器;英伟达概念;智能座舱;数字孪生;机器人概念;无人驾驶;3D打印;新能源汽车;人脸识别;虚拟现实;元宇宙;专精特新;消费电子概念;华为概念;智能物流;移动支付;虚拟数字人;东数西算(算力);阿里巴巴概念;人工智能;在线教育;芯片概念;蚂蚁集团概念;粤港澳大湾区;沪股通;融资融券
688098.SH,5,17,688098,动物疫苗;合成生物;创新药;宠物经济;融资融券
301520.SZ,7,33,301520,仿制药一致性评价;创新药;CRO概念;减肥药;食品安全;DeepSeek概念;融资融券
920578.BJ,8,151,920578,新能源汽车;融资融券;新型工业化;机器人概念;西部大开发;工业互联网;专精特新;工业母机
300695.SZ,12,33,300695,人形机器人;工业互联网;长安汽车概念;机器人概念;创投;充电桩;新能源汽车;专精特新;比亚迪概念;高压快充;汽车电子;深股通
300139.SZ,9,33,300139,黄金概念;智能电网;民爆概念;芯片概念;人民币贬值受益;一带一路;绿色电力;深股通;融资融券
920187.BJ,2,151,920187,新股与次新股;融资融券
300952.SZ,12,33,300952,人形机器人;机器人概念;比亚迪概念;商业航天;军工;安防;人民币贬值受益;海工装备;体育产业;石墨烯;深股通;融资融券
920100.BJ,11,151,920100,安防;智能物流;汽车热管理;3D打印;减速器;新股与次新股;融资融券;机器人概念;光伏概念;人形机器人;新型工业化
301005.SZ,26,33,301005,卫星导航;航空发动机;商业航天;大飞机;军工;无人机;低空经济;专精特新;飞行汽车(eVTOL);PEEK材料;小米概念;机器人概念;汽车热管理;比亚迪概念;特斯拉概念;换电概念;新能源汽车;人形机器人;小米汽车;家用电器;华为汽车;创投;智能物流;氢能源;深股通;融资融券
300809.SZ,10,33,300809,人形机器人;工业母机;新型工业化;机器人概念;高端装备;专精特新;第三代半导体;光刻机;一带一路;深股通
920593.BJ,8,151,920593,先进封装;机器人概念;减速器;医疗器械概念;融资融券;专精特新;人形机器人;3D打印
301232.SZ,13,33,301232,航空发动机;商业航天;大飞机;无人机;3D打印;核电;低空经济;专精特新;机器人概念;工业互联网;风电;深股通;融资融券
688068.SH,13,17,688068,重组蛋白;创新药;阿尔茨海默概念;肝炎概念;猴痘概念;流感;智能医疗;医疗器械概念;食品安全;京津冀一体化;人工智能;沪股通;融资融券
301413.SZ,14,33,301413,人形机器人;机器人概念;传感器;无人驾驶;新能源汽车;比亚迪概念;专精特新;华为概念;粤港澳大湾区;储能;创投;汽车芯片;深股通;融资融券
688661.SH,8,17,688661,芯片概念;消费电子概念;英伟达概念;传感器;专精特新;机器人概念;沪股通;融资融券
300745.SZ,15,33,300745,高压快充;汽车电子;无线充电;比亚迪概念;充电桩;储能;新能源汽车;小米汽车;燃料电池;机器人概念;氢能源;长安汽车概念;华为汽车;深股通;融资融券
301165.SZ,31,33,301165,WiFi 6;共封装光学(CPO);6G概念;5G;液冷服务器;中国AI 50;数据中心(AIDC);东数西算(算力);网络安全;小米概念;信创;云办公;抖音概念(字节概念);阿里巴巴概念;腾讯概念;百度概念;国资云;工业互联网;AI智能体;新型工业化;人工智能;快手概念;蚂蚁集团概念;AI应用;AIGC概念;数字经济;智能医疗;一带一路;国企改革;深股通;融资融券
688698.SH,16,17,688698,人形机器人;机器视觉;机器人概念;高端装备;新能源汽车;专精特新;智能物流;AI智能体;人工智能;海工装备;储能;医疗器械概念;氢能源;光伏概念;融资融券;沪股通
688192.SH,3,17,688192,创新药;沪股通;融资融券
301529.SZ,8,33,301529,传感器;汽车电子;比亚迪概念;新能源汽车;5G;中俄贸易概念;深股通;融资融券
300969.SZ,7,33,300969,人形机器人;汽车热管理;比亚迪概念;无人驾驶;新能源汽车;深股通;融资融券
920011.BJ,9,151,920011,专精特新;家用电器;机器人概念;小米概念;一带一路;智能家居;参股银行;新股与次新股;融资融券
688387.SH,20,17,688387,6G概念;卫星导航;商业航天;5G;芯片概念;东数西算(算力);专精特新;低空经济;机器视觉;网络安全;物联网;车联网(车路协同);工业互联网;人工智能;DeepSeek概念;AI应用;央企国企改革;国企改革;沪股通;融资融券
300115.SZ,39,33,300115,减速器;人形机器人;华为汽车;特斯拉概念;新型工业化;PEEK材料;机器人概念;传感器;小米概念;新能源汽车;3D打印;无线耳机;虚拟现实;MR(混合现实);无人机;卫星导航;智能穿戴;苹果概念;消费电子概念;AI手机;同花顺果指数;华为概念;AI眼镜;液冷服务器;燃料电池;5G;AI PC;宁德时代概念;充电桩;海峡两岸;粤港澳大湾区;东数西算(算力);储能;芯片概念;锂电池概念;铜缆高速连接;氢能源;深股通;融资融券
300415.SZ,14,33,300415,华为汽车;工业母机;新型工业化;一体化压铸;长安汽车概念;机器人概念;新能源汽车;比亚迪概念;工业互联网;3D打印;消费电子概念;5G;深股通;融资融券
300878.SZ,6,33,300878,民营医院;肝炎概念;流感;创新药;医药电商;融资融券
300223.SZ,31,33,300223,存储芯片;汽车芯片;MCU芯片;MiniLED;OLED;芯片概念;AI眼镜;汽车电子;消费电子概念;毫米波雷达;智能座舱;传感器;智能音箱;小米概念;机器视觉;3D打印;无人驾驶;人脸识别;抖音概念(字节概念);物联网;机器人概念;安防;人民币贬值受益;人工智能;鸿蒙概念;智能家居;区块链;家用电器;京津冀一体化;深股通;融资融券
301603.SZ,13,33,301603,工业母机;液冷服务器;人形机器人;新型工业化;军工;柔性屏(折叠屏);新能源汽车;机器人概念;专精特新;PCB概念;粤港澳大湾区;深股通;融资融券
301539.SZ,7,33,301539,低空经济;飞行汽车(eVTOL);专精特新;商业航天;新能源汽车;比亚迪概念;融资融券
300487.SZ,21,33,300487,盐湖提锂;金属钴;金属镍;小金属概念;锂电池概念;金属回收;比亚迪概念;芯片概念;专精特新;净水概念;固废处理;减肥药;存储芯片;工业大麻;核污染防治;西部大开发;生物疫苗;碳中和;碳交易;融资融券;深股通
301588.SZ,4,33,301588,粤港澳大湾区;人民币贬值受益;商业航天;融资融券
688310.SH,4,17,688310,专精特新;医疗器械概念;高端装备;融资融券
688716.SH,11,17,688716,PEEK材料;人形机器人;机器人概念;3D打印;专精特新;新能源汽车;碳纤维;商业航天;大飞机;医疗器械概念;融资融券
000656.SZ,7,33,000656,托育服务;三胎概念;物业管理;西部大开发;新型城镇化;摘帽;股权转让(并购重组)
600376.SH,12,17,600376,证金持股;租售同权;冰雪产业;物业管理;养老概念;体育产业;融资融券;京津冀一体化;国企改革;雄安新区;新型城镇化;沪股通
000908.SZ,9,33,000908,消毒剂;仿制药一致性评价;眼科医疗;医美概念;流感;创新药;医疗器械概念;基因测序;摘帽
002677.SZ,7,33,002677,净水概念;长三角一体化;智能家居;人工智能;家用电器;无人驾驶;深股通
002148.SZ,14,33,002148,车联网(车路协同);物联网;创投;抖音概念(字节概念);低空经济;京津冀一体化;网络游戏;手机游戏;无人机;机器人概念;5G;芯片概念;融资融券;深股通
002434.SZ,16,33,002434,减速器;农机;一体化压铸;人形机器人;工业互联网;机器人概念;高端装备;新能源汽车;碳中和;碳交易;比亚迪概念;绿色电力;储能;虚拟电厂;深股通;融资融券
002141.SZ,8,33,002141,动物疫苗;广东自贸区;锂电池概念;粤港澳大湾区;创投;独角兽概念;PCB概念;横琴新区
603327.SH,20,17,603327,华为概念;MR(混合现实);西部大开发;国企改革;小米概念;柔性屏(折叠屏);比亚迪概念;新能源汽车;金属回收;特斯拉概念;储能;锂电池概念;消费电子概念;宁德时代概念;5G;苹果概念;AI眼镜;AI手机;2026中报预增;沪股通
603717.SH,11,17,603717,猪肉;生态农业;雄安新区;乡村振兴;PPP概念;特色小镇;西部大开发;锂电池概念;绿色电力;氟化工概念;钠离子电池
000595.SZ,10,33,000595,风电;储能;西部大开发;国企改革;绿色电力;军工;光伏概念;国产航母;摘帽;股权转让(并购重组)
002700.SZ,3,33,002700,天然气;新疆振兴;西部大开发
002072.SZ,1,33,002072,煤炭概念
002249.SZ,16,33,002249,长安汽车概念;人形机器人;家用电器;机器人概念;AIGC概念;新能源汽车;燃料电池;比亚迪概念;氢能源;粤港澳大湾区;充电桩;储能;风电;数据中心(AIDC);深股通;融资融券
600530.SH,4,17,600530,幽门螺杆菌概念;宠物经济;养老概念;沪股通
002377.SZ,2,33,002377,互联网金融;股权转让(并购重组)
603178.SH,14,17,603178,减速器;汽车热管理;飞行汽车(eVTOL);机器人概念;低空经济;长安汽车概念;共同富裕示范区;数字经济;无人驾驶;华为汽车;新能源汽车;比亚迪概念;融资融券;沪股通
600793.SH,4,17,600793,西部大开发;国企改革;食品安全;电子纸
600592.SH,13,17,600592,人形机器人;新能源汽车;大飞机;商业航天;军工;军民融合;海工装备;海峡两岸;风电;国企改革;参股券商;融资融券;沪股通
603137.SH,5,17,603137,装配式建筑;建筑节能;新型城镇化;光伏建筑一体化;融资融券
603013.SH,14,17,603013,长安汽车概念;中俄贸易概念;汽车热管理;一带一路;国企改革;燃料电池;氢能源;新能源汽车;比亚迪概念;储能;专精特新;传感器;汽车电子;沪股通
603165.SH,6,17,603165,污水处理;参股银行;高股息精选;长三角一体化;传感器;芯片概念
603466.SH,27,17,603466,AI视频;手机游戏;ChatGPT概念;空间计算;虚拟数字人;AIGC概念;NFT概念;数字孪生;文化传媒概念;数据要素;IP经济(谷子经济);百度概念;元宇宙;数字经济;抖音概念(字节概念);DeepSeek概念;旅游概念;网红经济;人形机器人;乡村振兴;机器人概念;虚拟现实;华为概念;MR(混合现实);商业航天;融资融券;沪股通
600143.SH,28,17,600143,PEEK材料;人形机器人;特斯拉概念;机器人概念;碳纤维;低空经济;新能源汽车;无人机;氢能源;数字经济;储能;充电桩;锂电池概念;碳中和;固态电池;可降解塑料;创投;商业航天;粤港澳大湾区;光伏概念;东数西算(算力);数据中心(AIDC);医疗器械概念;5G;合成生物;沪股通;融资融券;铜缆高速连接
600801.SH,6,17,600801,水泥概念;雅下水电概念;一带一路;2026一季报预增;沪股通;融资融券
601069.SH,8,17,601069,黄金概念;金属铜;小金属概念;2026一季报预增;西部大开发;国企改革;沪股通;融资融券
603915.SH,10,17,603915,减速器;人形机器人;高端装备;机器人概念;海工装备;水利;固废处理;光伏建筑一体化;融资融券;沪股通
605068.SH,6,17,605068,新能源汽车;比亚迪概念;华为汽车;长安汽车概念;机器人概念;人形机器人
002664.SZ,13,33,002664,人形机器人;华为汽车;特斯拉概念;机器人概念;新能源汽车;比亚迪概念;无人机;低空经济;汽车电子;小米概念;华为概念;深股通;融资融券
600580.SH,27,17,600580,人形机器人;特斯拉概念;机器人概念;飞行汽车(eVTOL);家用电器;工业互联网;智能家居;比亚迪概念;航空发动机;小米概念;新能源汽车;低空经济;阿里巴巴概念;DeepSeek概念;无人机;华为概念;军工;储能;一带一路;氢能源;海工装备;风电;核电;光伏建筑一体化;数据中心(AIDC);沪股通;融资融券
002396.SZ,32,33,002396,WiFi 6;F5G概念;共封装光学(CPO);5G;数据中心(AIDC);网络安全;物联网;华为概念;信创;车联网(车路协同);机器人概念;智能家居;阿里巴巴概念;抖音概念(字节概念);腾讯概念;海峡两岸;脑机接口;数字货币;移动支付;鸿蒙概念;人工智能;福建自贸区;DeepSeek概念;AIGC概念;AI应用;在线教育;互联网金融;文化传媒概念;国企改革;深股通;融资融券;证金持股
002765.SZ,18,33,002765,减速器;华为汽车;长安汽车概念;机器人概念;低空经济;虚拟现实;新能源汽车;智能座舱;军工;比亚迪概念;西部大开发;国企改革;汽车电子;消费电子概念;富士康概念;股权转让(并购重组);深股通;融资融券
003028.SZ,13,33,003028,人形机器人;汽车热管理;机器视觉;机器人概念;智能家居;家用电器;新能源汽车;空气能热泵;汽车电子;储能;光伏概念;智能电网;共封装光学(CPO)
001337.SZ,5,33,001337,黄金概念;西部大开发;国企改革;融资融券;深股通
603211.SH,12,17,603211,毫米波雷达;专精特新;卫星导航;比亚迪概念;人形机器人;新能源汽车;无人驾驶;特斯拉概念;机器人概念;长三角一体化;智能家居;沪股通
601689.SH,22,17,601689,人形机器人;汽车热管理;同花顺新质50;华为汽车;新型工业化;特斯拉概念;一体化压铸;小米汽车;智能座舱;机器人概念;无人驾驶;比亚迪概念;新能源汽车;汽车电子;小米概念;英伟达概念;液冷服务器;中国AI 50;数据中心(AIDC);同花顺出海50;沪股通;融资融券
002715.SZ,4,33,002715,创投;新能源汽车;比亚迪概念;黄金概念
605189.SH,6,17,605189,染料;PEEK材料;机器人概念;人形机器人;储能;2026一季报预增
300577.SZ,6,33,300577,IP经济(谷子经济);体育产业;跨境电商;人民币贬值受益;小米概念;深股通
002623.SZ,11,33,002623,钙钛矿电池;建筑节能;POE胶膜;光伏概念;光伏建筑一体化;一带一路;储能;特斯拉概念;绿色电力;玻璃基板;融资融券
603338.SH,7,17,603338,人民币贬值受益;高端装备;一带一路;机器人概念;军民融合;沪股通;融资融券
600990.SH,22,17,600990,军工信息化;军民融合;大飞机;国产航母;军工;低空经济;卫星导航;商业航天;安防;核电;水利;DeepSeek概念;量子科技;可控核聚变;央企国企改革;新能源汽车;比亚迪概念;国企改革;毫米波雷达;PCB概念;沪股通;融资融券
002868.SZ,8,33,002868,宠物经济;合成生物;POE胶膜;海峡两岸;光伏概念;深股通;摘帽;股权转让(并购重组)
603286.SH,16,17,603286,人形机器人;智能座舱;新型工业化;长安汽车概念;传感器;无人驾驶;机器人概念;比亚迪概念;汽车电子;新能源汽车;专精特新;智能家居;工业互联网;PM2.5;芯片概念;沪股通
603580.SH,4,17,603580,海峡两岸;消费电子概念;人民币贬值受益;摘帽
600988.SH,8,17,600988,金属铅;黄金概念;金属铜;稀土永磁;西部大开发;人民币贬值受益;沪股通;融资融券
600391.SH,10,17,600391,国产航母;航空发动机;大飞机;军工;高端装备;央企国企改革;西部大开发;国企改革;沪股通;融资融券
001270.SZ,13,33,001270,6G概念;卫星导航;商业航天;第三代半导体;军工信息化;军民融合;5G;芯片概念;军工;专精特新;共同富裕示范区;深股通;摘帽
002353.SZ,17,33,002353,数据中心(AIDC);核电;高端装备;海工装备;储能;同花顺出海50;一带一路;锂电池概念;中俄贸易概念;动力电池回收;污水处理;土壤修复;深股通;融资融券;页岩气;天然气;液冷服务器
600841.SH,11,17,600841,农机;工业互联网;换电概念;数据中心(AIDC);无人驾驶;新能源汽车;氢能源;上海国企改革;国企改革;汽车芯片;沪股通
000576.SZ,4,33,000576,军工信息化;军民融合;军工;第三代半导体
002767.SZ,11,33,002767,新型工业化;水利;机器人概念;智慧城市;物联网;DeepSeek概念;传感器;华为概念;毫米波雷达;量子科技;芯片概念
600769.SH,2,17,600769,国企改革;沪股通
601100.SH,6,17,601100,高端装备;无人驾驶;中国AI 50;同花顺漂亮100;沪股通;融资融券
002747.SZ,18,33,002747,工业母机;人形机器人;新型工业化;机器视觉;长安汽车概念;机器人概念;比亚迪概念;高端装备;农机;专精特新;工业互联网;宁德时代概念;智能医疗;光伏概念;养老概念;医疗器械概念;深股通;融资融券
002850.SZ,13,33,002850,减速器;PEEK材料;人形机器人;特斯拉概念;机器人概念;新能源汽车;比亚迪概念;宁德时代概念;固态电池;锂电池概念;储能;深股通;融资融券
605305.SH,6,17,605305,风电;京津冀一体化;储能;专精特新;沪股通;融资融券
003011.SZ,3,33,003011,长三角一体化;人民币贬值受益;共同富裕示范区
301578.SZ,11,33,301578,智能家居;家用电器;物联网;星闪概念;新型工业化;人脸识别;鸿蒙概念;华为概念;小米概念;消费电子概念;融资融券
001400.SZ,10,33,001400,商业航天;3D打印;高铁;专精特新;液冷服务器;汽车热管理;新能源汽车;风电;深股通;融资融券
605255.SH,6,17,605255,汽车热管理;新能源汽车;长安汽车概念;燃料电池;沪股通;股权转让(并购重组)
603713.SH,9,17,603713,上海自贸区;自由贸易港;人工智能;统一大市场;航运概念;跨境电商;智能物流;融资融券;沪股通
003021.SZ,16,33,003021,减速器;人形机器人;新型工业化;华为汽车;机器人概念;MR(混合现实);比亚迪概念;新能源汽车;小米概念;汽车电子;华为概念;5G;充电桩;医疗器械概念;融资融券;深股通
603303.SH,7,17,603303,汽车电子;智慧灯杆;人民币贬值受益;新能源汽车;智慧城市;股权转让(并购重组);沪股通
002979.SZ,16,33,002979,人形机器人;新型工业化;机器视觉;机器人概念;高端装备;比亚迪概念;专精特新;小米概念;低空经济;富士康概念;芯片概念;华为概念;光伏概念;宁德时代概念;2026中报预增;深股通
002896.SZ,9,33,002896,减速器;人形机器人;新型工业化;机器人概念;新能源汽车;共同富裕示范区;长三角一体化;融资融券;深股通
002270.SZ,8,33,002270,特高压;高端装备;机器人概念;专精特新;绿色电力;工业母机;深股通;融资融券
001268.SZ,2,33,001268,成飞概念;粤港澳大湾区
001317.SZ,11,33,001317,拼多多概念;长安汽车概念;跨境电商;智能物流;无人驾驶;传感器;统一大市场;低空经济;一带一路;新疆振兴;西部大开发
001306.SZ,14,33,001306,减速器;人形机器人;工业母机;家用电器;机器人概念;共同富裕示范区;智能家居;安防;新能源汽车;专精特新;比亚迪概念;智能座舱;深股通;融资融券
601177.SH,15,17,601177,减速器;农机;工业互联网;参股银行;机器人概念;人形机器人;国企改革;海工装备;风电;军民融合;军工;核电;储能;融资融券;沪股通
000506.SZ,8,33,000506,黄金概念;金属铜;小金属概念;一带一路;股权转让(并购重组);人民币贬值受益;国企改革;深股通
002771.SZ,29,33,002771,虚拟数字人;语音技术;AIGC概念;在线教育;电力物联网;算力租赁;阿里巴巴概念;人脸识别;东数西算(算力);AI应用;信创;时空大数据;数据中心(AIDC);虚拟现实;数字经济;高压快充;充电桩;人工智能;华为概念;DeepSeek概念;物联网;液冷服务器;储能;京津冀一体化;风电;工业互联网;智能医疗;军工;军民融合
002536.SZ,21,33,002536,液冷服务器;芯片概念;汽车电子;数据中心(AIDC);汽车热管理;华为概念;无人机;新能源汽车;特斯拉概念;小米汽车;低空经济;充电桩;储能;机器人概念;海峡两岸;长安汽车概念;燃料电池;人民币贬值受益;一带一路;深股通;融资融券
603278.SH,8,17,603278,人形机器人;高端装备;商业航天;一带一路;海峡两岸;风电;生物质能发电;绿色电力
605028.SH,4,17,605028,绿色电力;固废处理;生物质能发电;高股息精选
603726.SH,6,17,603726,先进封装;家用电器;人形机器人;空气能热泵;机器人概念;创投
002472.SZ,11,33,002472,减速器;机器人概念;高端装备;新能源汽车;比亚迪概念;智能家居;高铁;创投;绿色电力;融资融券;深股通
603051.SH,19,17,603051,钙钛矿电池;TOPCON电池;HJT电池;BC电池;传感器;光伏概念;比亚迪概念;智能穿戴;商业航天;锂电池概念;人形机器人;固态电池;柔性屏(折叠屏);OLED;POE胶膜;氢能源;水利;光伏建筑一体化;融资融券
002981.SZ,12,33,002981,医疗器械概念;一带一路;人民币贬值受益;智能音箱;机器人概念;虚拟现实;储能;智能穿戴;消费电子概念;苹果概念;无人机;无线耳机
002283.SZ,10,33,002283,比亚迪概念;新能源汽车;高端装备;工业互联网;机器人概念;减速器;绿色电力;深股通;高股息精选;融资融券
002294.SZ,7,33,002294,减肥药;创新药;仿制药一致性评价;医疗器械概念;参股保险;深股通;融资融券
603559.SH,6,17,603559,时空大数据;云计算;数据中心(AIDC);东数西算(算力);5G;摘帽
002988.SZ,10,33,002988,汽车热管理;建筑节能;华为汽车;智能物流;新能源汽车;比亚迪概念;储能;商业航天;光伏概念;深股通
603596.SH,15,17,603596,华为汽车;长安汽车概念;人形机器人;特斯拉概念;飞行汽车(eVTOL);无人驾驶;机器人概念;低空经济;新能源汽车;比亚迪概念;汽车电子;创投;专精特新;融资融券;沪股通
603730.SH,8,17,603730,长安汽车概念;特斯拉概念;新能源汽车;比亚迪概念;人民币贬值受益;上海自贸区;沪股通;融资融券
002635.SZ,34,33,002635,同花顺果指数;柔性屏(折叠屏);苹果概念;MR(混合现实);无线耳机;智能音箱;消费电子概念;无线充电;智能穿戴;MiniLED;汽车电子;5G;小米概念;OLED;传感器;虚拟现实;特斯拉概念;华为概念;新能源汽车;高压快充;海峡两岸;机器人概念;智能家居;无人机;充电桩;元宇宙;储能;人民币贬值受益;燃料电池;一带一路;氢能源;深股通;共封装光学(CPO);融资融券
000975.SZ,9,33,000975,金属铅;金属锌;黄金概念;小金属概念;西部大开发;国企改革;2026一季报预增;深股通;融资融券
002090.SZ,23,33,002090,电力物联网;虚拟电厂;智能电网;换电概念;智慧城市;信创;光伏建筑一体化;智慧政务;安防;储能;人工智能;数字经济;垃圾分类;核电;风电;建筑节能;数据中心(AIDC);碳中和;华为概念;机器人概念;氢能源;5G;股权转让(并购重组)
603012.SH,11,17,603012,长三角一体化;高端装备;中俄贸易概念;新能源汽车;工业互联网;华为概念;人工智能;AIGC概念;煤炭概念;沪股通;融资融券
002520.SZ,18,33,002520,工业母机;减速器;人形机器人;新型工业化;航空发动机;成飞概念;高端装备;机器人概念;新能源汽车;大飞机;军民融合;数字经济;共同富裕示范区;人民币贬值受益;一带一路;风电;深股通;融资融券
603798.SH,4,17,603798,氢能源;燃料电池;军民融合;军工
002471.SZ,25,33,002471,航空发动机;军民融合;大飞机;水利;海工装备;军工;高端装备;低空经济;商业航天;一带一路;柔性直流输电;数字经济;无人机;核电;机器人概念;风电;创投;充电桩;智能电网;石墨烯;光伏概念;东数西算(算力);数据中心(AIDC);深股通;融资融券
002292.SZ,20,33,002292,文化传媒概念;虚拟数字人;手机游戏;IP经济(谷子经济);网络游戏;NFT概念;ChatGPT概念;多模态AI;元宇宙;跨境电商;腾讯概念;独角兽概念;人工智能;乡村振兴;三胎概念;虚拟现实;智能穿戴;深股通;融资融券;2026中报预增
002067.SZ,12,33,002067,数字孪生;机器人概念;托育服务;数字经济;光伏建筑一体化;一带一路;创投;烟草;绿色电力;长三角一体化;深股通;融资融券
300680.SZ,28,33,300680,减速器;汽车热管理;人形机器人;华为汽车;飞行汽车(eVTOL);军民融合;卫星导航;特斯拉概念;无人机;小米汽车;商业航天;机器人概念;军工;低空经济;传感器;PEEK材料;无人驾驶;智能座舱;新能源汽车;比亚迪概念;毫米波雷达;专精特新;燃料电池;华为概念;6G概念;蚂蚁集团概念;氢能源;深股通
688165.SH,18,17,688165,减速器;人形机器人;新型工业化;机器视觉;机器人概念;新能源汽车;华为欧拉;专精特新;工业互联网;人工智能;华为概念;富士康概念;锂电池概念;光伏概念;氢能源;国企改革;沪股通;融资融券
