所属概念,market_code,所属概念数量,code,股票代码
页岩气;核电;数据中心;同花顺出海50;海工装备;高端装备;天然气;一带一路;储能;中俄贸易概念;回购增持再贷款概念;污水处理;锂电池概念;动力电池回收;土壤修复;深股通;融资融券,33,17,002353,002353.SZ
汽车芯片;芯片概念;第三代半导体;专精特新;无人机;充电桩;智能电网;融资融券,17,8,688693,688693.SH
特高压;国企改革,17,2,603016,603016.SH
融资融券;食品安全;猪肉;专精特新,151,4,920970,920970.BJ
俄乌冲突概念;氟化工概念;光刻机;中芯国际概念;光刻胶;氢能源;存储芯片;第三代半导体;芯片概念;核电;粤港澳大湾区;专精特新;沪股通;融资融券,17,14,688268,688268.SH
动物疫苗;禽流感;维生素;流感;宠物经济;乡村振兴;国企改革;参股保险;央企国企改革;2025年报预增;赛马概念;沪股通;中字头股票;融资融券,17,14,600195,600195.SH
ERP概念;新型城镇化;数据确权;华为概念;AIGC概念;股权转让(并购重组),33,6,300668,300668.SZ
共封装光学(CPO);光纤概念;5G;芯片概念;数据中心;3D打印;量子科技;2025年报预增;海工装备;商业航天;无人驾驶;卫星导航;粤港澳大湾区;一带一路;横琴新区;国企改革;股权转让(并购重组);深股通;融资融券,33,19,300620,300620.SZ
同花顺果指数;华为手机;AI眼镜;苹果概念;汽车电子;智能座舱;智能穿戴;AI手机;消费电子概念;小米概念;比亚迪概念;华为汽车;人形机器人;机器人概念;长安汽车概念;储能;华为概念;人民币贬值受益;安防;虚拟现实;元宇宙;深股通;融资融券,33,23,002273,002273.SZ
海峡两岸;三胎概念;人民币贬值受益;福建自贸区;股权转让(并购重组),33,5,300658,300658.SZ
创新药;仿制药一致性评价;辅助生殖;肝炎概念;基因测序;医药电商;福建自贸区;海峡两岸;融资融券;深股通,33,10,300436,300436.SZ
农机;中俄贸易概念;机器人概念;工业大麻;农村电商;一带一路;乡村振兴;低空经济;氢能源;西部大开发,33,10,300022,300022.SZ
国企改革;京津冀一体化,17,2,600791,600791.SH
细胞免疫治疗;重组蛋白;减肥药;创新药;仿制药一致性评价;流感;合成生物;创投;沪股通;融资融券,17,10,688166,688166.SH
合成生物;医药电商;宠物经济;创新药;融资融券,33,5,300871,300871.SZ
白酒概念;沪股通;融资融券,17,3,603198,603198.SH
家用电器;人民币贬值受益;一带一路;跨境电商;海峡两岸;智能物流;传感器;福建自贸区;智能家居;新型工业化;机器人概念;毫米波雷达;安防;物联网;华为概念;人工智能;鸿蒙概念;沪股通,17,18,605365,605365.SH
航运概念;央企国企改革;回购增持再贷款概念;国企改革;人民币贬值受益;沪股通;融资融券,17,7,601975,601975.SH
减肥药;CRO概念;肝炎概念;辅助生殖;流感;合成生物;宠物经济;人民币贬值受益;沪股通;融资融券,17,10,603538,603538.SH
牙科医疗;跨境电商;华为概念;NFT概念;人民币贬值受益;智能穿戴;特高压;消费电子概念;柔性直流输电;参股银行;股权转让(并购重组),33,11,001216,001216.SZ
俄乌冲突概念;页岩气;天然气;新疆振兴;碳中和;西部大开发;一带一路;人民币贬值受益,33,8,300164,300164.SZ
俄乌冲突概念;天然气;股权转让(并购重组),33,3,300483,300483.SZ
足球概念;冰雪产业;体育产业;海峡两岸;跨境电商;养老概念;AIGC概念;人工智能;鸿蒙概念;华为概念;DeepSeek概念,17,11,605299,605299.SH
动物疫苗;创新药;宠物经济;合成生物;回购增持再贷款概念;融资融券,17,6,688098,688098.SH
苹果概念;华为概念;区块链,33,3,300736,300736.SZ
猴痘概念;流感;肝炎概念;幽门螺杆菌概念;基因测序;辅助生殖;创新药;智能医疗;医疗器械概念;民营医院;AI智能体;DeepSeek概念;人工智能;回购增持再贷款概念;融资融券,33,15,300639,300639.SZ
商业航天;大飞机;航空发动机;军民融合;军工;低空经济;无人机;海工装备;核电;数字经济;高端装备;东数西算(算力);机器人概念;柔性直流输电;智能电网;水利;光伏概念;充电桩;数据中心;风电;创投;石墨烯;一带一路;深股通;融资融券,33,25,002471,002471.SZ
电子纸;MiniLED;存储芯片;先进封装;柔性屏(折叠屏);OLED;消费电子概念;第三代半导体;MR(混合现实);共封装光学(CPO);AI眼镜;芯片概念;智能穿戴;小米概念;新型工业化;机器视觉;专精特新;华为概念;新能源汽车;虚拟现实;机器人概念;锂电池概念;融资融券,17,23,688328,688328.SH
家庭医生;智能医疗;医药电商;阿里巴巴概念;养老概念;时空大数据;医美概念;宠物经济;跨境电商;冷链物流;海峡两岸;深股通;融资融券,33,13,301017,301017.SZ
TOPCON电池;钙钛矿电池;HJT电池;硅能源;新型城镇化;虚拟电厂;PPP概念;光伏概念;固态电池;储能;锂电池概念,17,11,603778,603778.SH
阿尔茨海默概念;医药电商;创新药;医疗器械概念;跨境电商;机器人概念;深股通;融资融券,33,8,301015,301015.SZ
融资融券;重组蛋白;生物疫苗,151,3,920575,920575.BJ
创新药;沪股通;融资融券,17,3,688382,688382.SH
注册制次新股;参股银行;专精特新;乡村振兴;新股与次新股;融资融券,17,6,603284,603284.SH
代糖概念;锂电池概念;固态电池;生物质能发电;煤化工概念;合成生物;光伏概念;深股通;融资融券,33,9,002597,002597.SZ
BC电池;TOPCON电池;钙钛矿电池;第三代半导体;光伏概念;芯片概念;比亚迪概念;专精特新;沪股通;融资融券,17,10,688726,688726.SH
减速器;共同富裕示范区;机器人概念;长三角一体化,17,4,605055,605055.SH
AI应用;医药电商;重组蛋白;融资融券;合成生物;医美概念;医疗器械概念;创新药;专精特新,151,9,920982,920982.BJ
光纤概念;海工装备;军工;风电;金属铜;融资融券;特高压;核电;光伏概念;充电桩;专精特新,151,11,920682,920682.BJ
MiniLED;先进封装;芯片概念;人形机器人;华为概念;机器人概念;商业航天;锂电池概念;沪股通;融资融券,17,10,688383,688383.SH
俄乌冲突概念;天然气;新疆振兴;沪股通;一带一路;海工装备;回购增持再贷款概念;机器人概念;融资融券,17,9,603619,603619.SH
融资融券;创新药;CRO概念,151,3,920478,920478.BJ
创新药;仿制药一致性评价;智能医疗;西部大开发;沪股通;融资融券,17,6,688513,688513.SH
新型工业化;机器人概念;专精特新;无人机;消费电子概念;固态电池;锂电池概念;PET铜箔;可降解塑料,33,9,001223,001223.SZ
流感;融资融券;创新药;减肥药;仿制药一致性评价,151,5,920735,920735.BJ
阿尔茨海默概念;仿制药一致性评价;细胞免疫治疗;创新药;CRO概念;幽门螺杆菌概念;专精特新;深股通;融资融券,33,9,002675,002675.SZ
页岩气;天然气;摘帽;深股通;氢能源;国企改革;海工装备;股权转让(并购重组),33,8,002490,002490.SZ
光纤概念;太赫兹;5G;数据中心;液冷服务器;智慧灯杆;储能;数字孪生;物联网;粤港澳大湾区;锂电池概念,33,11,300565,300565.SZ
商业航天;卫星导航;可控核聚变;军工;核电;海工装备;特高压;高端装备;人形机器人;高铁;机器人概念;工业互联网;水利;充电桩;光伏概念;新能源汽车;风电;比亚迪概念;专精特新;国企改革;新疆振兴;深股通,33,22,001208,001208.SZ
太赫兹;军工信息化;卫星导航;商业航天;6G概念;军民融合;军工;无人机;低空经济;华为概念;无人驾驶;家用电器;国企改革;深股通;融资融券,33,15,300342,300342.SZ
机器人概念;智能家居;比亚迪概念;工业互联网;新能源汽车;汽车电子;光伏概念;国企改革;金属回收;深股通,33,10,002676,002676.SZ
禽流感;猴痘概念;流感;肝炎概念;幽门螺杆菌概念;创新药;医疗器械概念;食品安全;回购增持再贷款概念;专精特新;融资融券,17,11,688317,688317.SH
2025年报预增;军工;新能源汽车;飞行汽车(eVTOL);低空经济;农机;融资融券;长安汽车概念;比亚迪概念,151,9,920106,920106.BJ
细胞免疫治疗;辅助生殖;创新药;仿制药一致性评价;肝炎概念;幽门螺杆菌概念;眼科医疗;医药电商;医疗器械概念;西部大开发;国企改革;知识产权保护;融资融券,33,13,300006,300006.SZ
流感;医药电商,17,2,600613,600613.SH
融资融券;宠物经济,151,2,920656,920656.BJ
融资融券;合成生物;专精特新,151,3,920547,920547.BJ
水利;海工装备;核电;特高压;充电桩;高铁;风电;一带一路;军工;光伏概念;专精特新;储能;新能源汽车;西部大开发;锂电池概念;氟化工概念;沪股通;股权转让(并购重组),17,18,603333,603333.SH
锂电池概念;融资融券;国企改革;专精特新,151,4,920946,920946.BJ
俄乌冲突概念;页岩气;天然气;新疆振兴;西部大开发;国企改革,33,6,002207,002207.SZ
BC电池;钙钛矿电池;TOPCON电池;光伏建筑一体化;光伏概念;国企改革;虚拟电厂;华为概念;AI智能体;深股通;融资融券,33,11,300393,300393.SZ
重组蛋白;融资融券;肝炎概念;细胞免疫治疗;创新药;京津冀一体化;专精特新;三胎概念,151,8,920344,920344.BJ
金属回收;金属锌;土壤修复;小金属概念;ST板块;固废处理;污水处理;PPP概念;雄安新区;黑龙江自贸区;水利;一带一路;乡村振兴;无人机;物联网,33,15,000711,000711.SZ
专精特新;京津冀一体化;融资融券,17,3,688485,688485.SH
云办公;华为鲲鹏;数据安全;网络安全;智慧政务;电子身份证;信创;财税数字化;数字乡村;数据要素;百度概念;DRG/DIP;区块链;智慧城市;东数西算(算力);数字经济;互联网金融;数字孪生;人工智能;物联网;华为概念;家庭医生;智能医疗;数据中心;军工;食品安全;工业互联网;机器视觉;芯片概念;AI应用,33,30,300730,300730.SZ
液冷服务器;锂电池概念;西部大开发;融资融券;算力租赁;数据中心;氢能源;换电概念;天然气;储能;东数西算(算力),151,11,920010,920010.BJ
ST板块;横琴新区;医美概念;医疗器械概念;幽门螺杆菌概念;仿制药一致性评价;肝炎概念;创新药;新疆振兴;东数西算(算力);股权转让(并购重组),33,11,002898,002898.SZ
俄乌冲突概念;天然气;海南自贸区;土地流转;融资融券;一带一路;人民币贬值受益;沪股通,17,8,600759,600759.SH
光纤概念;F5G概念;成飞概念;共封装光学(CPO);6G概念;军工信息化;卫星导航;军工;大飞机;5G;高铁;无人机;数据中心;低空经济;智慧灯杆;特高压;东数西算(算力);算力租赁;国资云;深圳国企改革;华为概念;智慧城市;传感器;一带一路;信创;腾讯概念;抖音概念(字节概念);人工智能;阿里巴巴概念;百度概念;创投;智能电网;光伏概念;粤港澳大湾区;国企改革;绿色电力;物业管理;深股通;摘帽,33,39,000070,000070.SZ
专精特新,33,1,001226,001226.SZ
特色小镇;三胎概念;文化传媒概念;IP经济(谷子经济);旅游概念;职业教育;在线教育;数字经济;人工智能;粤港澳大湾区;国企改革;深股通,33,12,002678,002678.SZ
钒电池;国企改革;氢能源;污水处理;固态电池;深股通;融资融券,33,7,000822,000822.SZ
航运概念;中字头股票;高股息精选;自由贸易港;沪股通;回购增持再贷款概念;国企改革;央企国企改革;人民币贬值受益;粤港澳大湾区;比亚迪概念;DeepSeek概念;融资融券,17,13,600428,600428.SH
PEEK材料;汽车热管理;华为汽车;新能源汽车;比亚迪概念;专精特新;燃料电池;车联网(车路协同);氢能源;医疗器械概念;深股通;融资融券,33,12,301225,301225.SZ
ST板块;国企改革,22,2,600608,600608.SH
ST板块;白酒概念;西部大开发,22,3,600381,600381.SH
猪肉;预制菜;乡村振兴;西部大开发;回购增持再贷款概念;沪股通,17,6,605296,605296.SH
仿制药一致性评价;肝炎概念;医药电商;猴痘概念;医美概念;医疗器械概念;国企改革;融资融券,33,8,300110,300110.SZ
C2M概念;人形机器人;智能家居;人民币贬值受益;养老概念;机器人概念;福建自贸区;2026一季报预增;沪股通,17,9,603992,603992.SH
俄乌冲突概念;天然气;央企国企改革;国企改革;氢能源;融资融券;充电桩,33,7,000554,000554.SZ
传感器;比亚迪概念;飞行汽车(eVTOL);华为汽车;新能源汽车;芯片概念;汽车热管理;低空经济;高压快充;股权转让(并购重组);深股通;融资融券,33,12,300507,300507.SZ
流感;创新药;医药电商;仿制药一致性评价;维生素;医疗器械概念;冷链物流;粤港澳大湾区;深股通;融资融券,33,10,000078,000078.SZ
染料;代糖概念;维生素,17,3,603968,603968.SH
创新药;仿制药一致性评价;幽门螺杆菌概念;合成生物;宠物经济;维生素;共同富裕示范区;MR(混合现实);回购增持再贷款概念;深股通,33,10,002940,002940.SZ
融资融券;宠物经济;合成生物,151,3,920275,920275.BJ
新型烟草(电子烟);烟草;PVDF概念;PET铜箔;比亚迪概念;创投;医疗器械概念;宁德时代概念;固态电池;锂电池概念;钠离子电池;国企改革;沪股通;融资融券;股权转让(并购重组),17,15,601515,601515.SH
福建自贸区;海峡两岸;旅游概念;乡村振兴;民营医院;化肥;深股通;融资融券;合成生物,33,9,000592,000592.SZ
养鸡;乡村振兴;西部大开发;2025年报预增;绿色电力;融资融券,33,6,300967,300967.SZ
科创次新股;CRO概念;AI智能体;智能医疗;基因测序;2025年报预增;人民币贬值受益;注册制次新股;沪股通;新股与次新股;融资融券,17,11,688796,688796.SH
光纤概念;存储芯片;芯片概念;有机硅概念;海峡两岸;光伏概念;硅能源;京津冀一体化;沪股通;融资融券,17,10,603938,603938.SH
西部大开发;融资融券;流感;创新药;农业种植;仿制药一致性评价;乡村振兴,151,7,920566,920566.BJ
页岩气;俄乌冲突概念;天然气;净水概念;PPP概念;污水处理;京津冀一体化;创投;融资融券;深股通,33,10,300332,300332.SZ
流感;注册制次新股;医疗器械概念;智能医疗;国企改革;机器人概念;深股通;新股与次新股;融资融券,33,9,301584,301584.SZ
共封装光学(CPO);F5G概念;光纤概念;5G;芯片概念;数据中心;专精特新;2025年报预增;沪股通;融资融券,17,10,688313,688313.SH
猪肉;生态农业;同花顺漂亮100;宠物经济;深股通;融资融券,33,6,002311,002311.SZ
WiFi 6;先进封装;6G概念;无线耳机;芯片概念;消费电子概念;5G;智能穿戴;卫星导航;小米概念;商业航天;虚拟现实;物联网;智能家居;人民币贬值受益;同花顺漂亮100;融资融券;深股通,33,18,300782,300782.SZ
ST板块;深圳国企改革;国企改革;智慧灯杆;国资云;智能医疗;人民币贬值受益;智慧城市;数字经济;数字孪生;安防;智能家居;人工智能;物联网;军民融合;数据要素;区块链;智慧政务;华为概念;机器视觉;东数西算(算力);人脸识别;信创;华为鲲鹏;5G,33,25,002528,002528.SZ
鸿蒙概念;融资融券;跨境电商;物联网;智能家居;家用电器;人民币贬值受益,151,7,920926,920926.BJ
创新药;重组蛋白;减肥药;肝炎概念;动物疫苗;合成生物;智能医疗;2025年报预增;回购增持再贷款概念;沪股通;融资融券,17,11,688136,688136.SH
共封装光学(CPO);液冷服务器;新型烟草(电子烟);苹果概念;固态电池;宁德时代概念;2025年报预增;消费电子概念;芯片概念;锂电池概念;AI眼镜;无线耳机;比亚迪概念;机器视觉;智能穿戴;新型工业化;人形机器人;华为概念;粤港澳大湾区;虚拟现实;机器人概念;工业互联网;无人机;物联网;智能物流;低空经济;融资融券;深股通,33,28,002957,002957.SZ
阿里巴巴概念;跨境电商;融资融券;宠物经济;智能医疗;医疗器械概念;养老概念;人民币贬值受益,151,8,920278,920278.BJ
农机;专精特新;乡村振兴,33,3,002890,002890.SZ
合成生物;农业种植;乡村振兴;融资融券,33,4,300970,300970.SZ
细胞免疫治疗;创新药;仿制药一致性评价;生物疫苗;幽门螺杆菌概念;医药电商;智能医疗;人工智能;华为概念;融资融券;沪股通,17,11,688658,688658.SH
新能源汽车;专精特新;2025年报预增;长安汽车概念;汽车电子;车联网(车路协同);融资融券,17,7,688667,688667.SH
西部大开发;融资融券;农业种植;医药电商,151,4,920266,920266.BJ
页岩气;氢能源;可控核聚变;风电;一带一路;核电;人民币贬值受益;沪股通;融资融券,17,9,603699,603699.SH
绿色电力;2025年报预增;医疗器械概念;鸿蒙概念;高端装备;食品安全;融资融券;宠物经济;回购增持再贷款概念;储能;人工智能;专精特新,151,12,920476,920476.BJ
跨境电商;西部大开发,33,2,002956,002956.SZ
专精特新;新型城镇化;建筑节能;智慧城市;华为概念;人工智能;雄安新区;信创;数据要素;华为鲲鹏;回购增持再贷款概念;蚂蚁集团概念;融资融券,33,13,301197,301197.SZ
细胞免疫治疗;创新药;眼科医疗;沪股通;融资融券,17,5,688331,688331.SH
同花顺中特估100;煤炭概念;超超临界发电;央企国企改革;绿色电力;风电;新型城镇化;水利;国企改革;一带一路;智能物流;无人机;新能源汽车;人民币贬值受益;深股通;融资融券,33,16,000065,000065.SZ
猪肉;玉米;动物疫苗;禽流感;预制菜;新疆振兴;宠物经济;西部大开发;国企改革;回购增持再贷款概念;深股通;融资融券,33,12,002100,002100.SZ
绿色电力;智能电网;钒电池;充电桩;国企改革;央企国企改革;西部大开发;数据中心;小金属概念;沪股通;融资融券,17,11,600101,600101.SH
天然气;央企国企改革;沪股通;融资融券;国企改革;绿色电力;一带一路;海工装备;风电;京津冀一体化;高端装备;数字孪生;DeepSeek概念;数据中心;机器人概念;氢能源,17,16,600583,600583.SH
融资融券;比亚迪概念;华为概念;家用电器;东数西算(算力),151,5,920699,920699.BJ
人民币贬值受益;芯片概念;PM2.5;光伏概念;DeepSeek概念;核污染防治;AI智能体;融资融券,17,8,688628,688628.SH
阿尔茨海默概念;创新药;仿制药一致性评价;肝炎概念;流感;生物疫苗;医药电商;医疗器械概念;共同富裕示范区;一带一路;2026一季报预增;深股通,33,12,002082,002082.SZ
智能医疗;医药电商;人工智能;DeepSeek概念;西部大开发;融资融券,33,6,300937,300937.SZ
烟草;新型烟草(电子烟);ST板块;储能,22,4,603429,603429.SH
创新药;肝炎概念;眼科医疗;沪股通;融资融券,17,5,688566,688566.SH
中俄贸易概念;页岩气;融资融券;海工装备;人民币贬值受益;专精特新;一带一路,151,7,920694,920694.BJ
污水处理;固废处理;盐湖提锂;动力电池回收;融资融券,17,5,688178,688178.SH
可燃冰;俄乌冲突概念;天然气;同花顺中特估100;证金持股;沪股通;融资融券;央企国企改革;国企改革;一带一路;海工装备;高端装备;中字头股票,17,13,601808,601808.SH
养鸡;猪肉;碳中和;预制菜;绿色电力;回购增持再贷款概念;冷链物流;深股通;融资融券,33,9,002840,002840.SZ
CRO概念;减肥药;创新药;合成生物;智能医疗;人民币贬值受益;京津冀一体化;深股通;融资融券,33,9,002821,002821.SZ
光纤概念;独角兽概念;净水概念;污水处理;储能,33,5,000890,000890.SZ
创新药;沪股通;融资融券,17,3,688428,688428.SH
航运概念;国企改革;雄安新区;沪股通;京津冀一体化;融资融券,17,6,601326,601326.SH
融资融券;农机;专精特新,151,3,920895,920895.BJ
煤炭概念;中字头股票;煤化工概念;同花顺中特估100;化肥;高股息精选;证金持股;央企国企改革;沪股通;融资融券;国企改革;乡村振兴,17,12,601898,601898.SH
中俄贸易概念;一带一路;海工装备;专精特新;氢能源;天然气;新股与次新股;融资融券,151,8,920158,920158.BJ
煤炭概念;煤化工概念;国企改革;西部大开发,17,4,600792,600792.SH
太赫兹;军工信息化;商业航天;卫星导航;军民融合;大飞机;6G概念;军工;无人机;低空经济;毫米波雷达;车联网(车路协同);5G;无人驾驶;人工智能;东数西算(算力);数据要素;芯片概念;华为概念;京津冀一体化;DeepSeek概念;汽车电子;比亚迪概念;存储芯片;养老概念;深股通;融资融券,33,27,002413,002413.SZ
基因测序;融资融券;合成生物;专精特新,151,4,920685,920685.BJ
高压快充;先进封装;光刻机;ST板块;机器人概念;储能;污水处理;芯片概念;国企改革;股权转让(并购重组),33,10,002816,002816.SZ
融资融券;西部大开发,151,2,920433,920433.BJ
生物质能发电;绿色电力;抽水蓄能;碳中和;光伏建筑一体化;风电;华为数字能源;储能;光伏概念;国企改革;航运概念;共同富裕示范区;统一大市场;华为概念;沪股通,17,15,600982,600982.SH
俄乌冲突概念;天然气;固态电池;中芯国际概念;氢能源;碳中和;光伏概念;存储芯片;锂电池概念;可控核聚变;第三代半导体;燃料电池;核电;商业航天;回购增持再贷款概念;芯片概念;专精特新;长三角一体化;冷链物流;沪股通;融资融券,17,21,688106,688106.SH
