股票代码,code,所属概念数量,所属概念,market_code
002132.SZ,002132,7,黄金概念;有机硅概念;硅能源;光伏概念;特高压;深股通;融资融券,33
003042.SZ,003042,4,草甘膦;供销社;乡村振兴;中俄贸易概念,33
605018.SH,605018,14,人形机器人;新能源汽车;一体化压铸;飞行汽车(eVTOL);比亚迪概念;长安汽车概念;机器人概念;储能;工业互联网;长三角一体化;光伏概念;低空经济;共同富裕示范区;沪股通,17
603968.SH,603968,3,代糖概念;染料;维生素,17
603260.SH,603260,8,硅能源;石墨电极;有机硅概念;光伏概念;第三代半导体;长三角一体化;沪股通;融资融券,17
605099.SH,605099,4,足球概念;体育产业;人民币贬值受益;沪股通,17
603090.SH,603090,15,液冷服务器;数据中心;2025年报预增;新能源汽车;牙科医疗;储能;锂电池概念;人民币贬值受益;农机;数据要素;氢能源;风电;碳中和;乡村振兴;煤化工概念,17
000766.SZ,000766,10,DeepSeek概念;工业大麻;阿尔茨海默概念;民营医院;参股银行;肝炎概念;流感;创新药;深股通;融资融券,33
000890.SZ,000890,5,光纤概念;独角兽概念;净水概念;污水处理;储能,33
002957.SZ,002957,28,共封装光学(CPO);液冷服务器;新型烟草(电子烟);苹果概念;固态电池;消费电子概念;芯片概念;AI眼镜;宁德时代概念;2025年报预增;无线耳机;机器视觉;智能穿戴;比亚迪概念;锂电池概念;新型工业化;人形机器人;虚拟现实;华为概念;机器人概念;粤港澳大湾区;工业互联网;无人机;物联网;智能物流;低空经济;融资融券;深股通,33
605589.SH,605589,31,PCB概念;先进封装;OLED;光刻胶;存储芯片;6G概念;芯片概念;超级电容;3D打印;固态电池;新能源汽车;商业航天;石墨烯;高端装备;军工;核电;锂电池概念;储能;大飞机;钠离子电池;硅能源;风电;丙烯酸;代糖概念;高铁;绿色电力;合成生物;建筑节能;创新药;沪股通;融资融券,17
603348.SH,603348,10,一体化压铸;两轮车;华为汽车;机器人概念;特斯拉概念;新能源汽车;比亚迪概念;飞行汽车(eVTOL);融资融券;沪股通,17
000990.SZ,000990,16,煤化工概念;POE胶膜;NMN概念;人造肉;氢能源;工业大麻;碳中和;燃料电池;国企改革;合成生物;OLED;民营医院;小米概念;医美概念;深股通;融资融券,33
603255.SH,603255,2,POE胶膜;TOPCON电池,17
600470.SH,600470,7,磷化工;化肥;煤化工概念;锂电池概念;乡村振兴;污水处理;融资融券,17
002631.SZ,002631,8,石墨烯;C2M概念;长三角一体化;工业互联网;智能家居;核污染防治;柔性屏(折叠屏);融资融券,33
002274.SZ,002274,6,煤化工概念;化肥;钒电池;氢能源;深股通;融资融券,33
002873.SZ,002873,6,医药电商;细胞免疫治疗;肝炎概念;创新药;流感;西部大开发,33
600791.SH,600791,2,国企改革;京津冀一体化,17
603042.SH,603042,12,光纤概念;F5G概念;铜缆高速连接;WiFi 6;5G;数据中心;物联网;智慧城市;华为概念;智能医疗;互联网金融;融资融券,17
000695.SZ,000695,5,石墨电极;固态电池;锂电池概念;储能;光伏概念,33
002037.SZ,002037,13,民爆概念;国企改革;土壤修复;一带一路;雅下水电概念;汽车拆解概念;西部大开发;水利;央企国企改革;新疆振兴;芯片概念;深股通;融资融券,33
000830.SZ,000830,14,煤化工概念;化肥;磷化工;氟化工概念;生态农业;消毒剂;天然气;有机硅概念;央企国企改革;氢能源;国企改革;乡村振兴;深股通;融资融券,33
002348.SZ,002348,9,固态电池;机器人概念;人工智能;三胎概念;钠离子电池;在线教育;跨境电商;IP经济(谷子经济);股权转让(并购重组),33
002051.SZ,002051,18,同花顺中特估100;固废处理;新疆振兴;央企国企改革;污水处理;国企改革;乡村振兴;新型城镇化;雄安新区;一带一路;水利;冰雪产业;人民币贬值受益;深股通;融资融券;华为概念;东数西算(算力);中字头股票,33
002092.SZ,002092,17,煤化工概念;煤炭概念;水泥概念;消毒剂;可降解塑料;新疆振兴;碳交易;石墨烯;碳中和;国企改革;西部大开发;风电;一带一路;深股通;跨境电商;职业教育;摘帽,33
002408.SZ,002408,7,环氧丙烷;可降解塑料;氢能源;国企改革;碳纤维;深股通;融资融券,33
002181.SZ,002181,23,短剧游戏;文化传媒概念;虚拟数字人;AIGC概念;网红经济;IP经济(谷子经济);足球概念;智慧政务;职业教育;体育产业;旅游概念;数字经济;独角兽概念;互联网金融;人工智能;广东自贸区;创投;AI应用;粤港澳大湾区;参股券商;国企改革;融资融券;深股通,33
000019.SZ,000019,8,粮食概念;预制菜;国企改革;深圳国企改革;冷链物流;一带一路;数字乡村;深股通,33
002663.SZ,002663,12,新型城镇化;PPP概念;污水处理;横琴新区;养老概念;网红经济;粤港澳大湾区;石墨烯;文化传媒概念;互联网金融;区块链;抖音概念(字节概念),33
000652.SZ,000652,21,新型城镇化;信托概念;PPP概念;雄安新区;固废处理;国企改革;参股券商;回购增持再贷款概念;化债概念(AMC概念);生物质能发电;创投;流感;碳交易;京津冀一体化;碳中和;绿色电力;证金持股;独角兽概念;动力电池回收;深股通;融资融券,33
600743.SH,600743,8,物业管理;证金持股;国企改革;京津冀一体化;智能家居;沪股通;融资融券;股权转让(并购重组),17
600664.SH,600664,13,医药电商;仿制药一致性评价;流感;维生素;肝炎概念;创新药;三胎概念;黑龙江自贸区;养老概念;跨境电商;DeepSeek概念;沪股通;融资融券,17
600063.SH,600063,8,水泥概念;光伏概念;国企改革;储能;参股券商;专精特新;融资融券;沪股通,17
000720.SZ,000720,4,光纤概念;央企国企改革;物业管理;国企改革,33
002431.SZ,002431,20,体育产业;职业教育;横琴新区;新型城镇化;土壤修复;水利;粤港澳大湾区;特色小镇;元宇宙;地下管网;旅游概念;虚拟现实;PPP概念;乡村振兴;雄安新区;国企改革;土地流转;碳交易;新疆振兴;融资融券,33
002310.SZ,002310,20,股权转让(并购重组);医疗废物处理;生态农业;绿色电力;汽车拆解概念;土壤修复;京津冀一体化;PPP概念;风电;储能;乡村振兴;雄安新区;固废处理;污水处理;国企改革;新型城镇化;深股通;水利;金属回收;摘帽,33
002470.SZ,002470,10,化肥;磷化工;生态农业;农村电商;水泥概念;土壤修复;乡村振兴;国企改革;锂电池概念;深股通,33
600654.SH,600654,15,信创;鸿蒙概念;网络安全;安防;智慧城市;华为概念;东数西算(算力);人工智能;智能医疗;数据中心;传感器;养老概念;比亚迪概念;物业管理;沪股通,17
600691.SH,600691,16,煤化工概念;化肥;磷化工;天然气;消毒剂;国企改革;氢能源;回购增持再贷款概念;一带一路;燃料电池;储能;光伏概念;机器人概念;股权转让(并购重组);沪股通;融资融券,17
300677.SZ,300677,8,医疗器械概念;养老概念;跨境电商;智能医疗;人民币贬值受益;创投;融资融券;深股通,33
300548.SZ,300548,15,F5G概念;共封装光学(CPO);光纤概念;铜缆高速连接;5G;芯片概念;数据中心;专精特新;2025年报预增;华为概念;长三角一体化;机器人概念;抖音概念(字节概念);融资融券;深股通,33
301338.SZ,301338,25,共封装光学(CPO);MiniLED;先进封装;PCB概念;富士康概念;第三代半导体;苹果概念;华为手机;工业母机;汽车芯片;芯片概念;消费电子概念;高端装备;小米概念;机器视觉;军工;专精特新;新型工业化;比亚迪概念;2025年报预增;华为概念;工业互联网;锂电池概念;深股通;融资融券,33
600426.SH,600426,5,煤化工概念;化肥;国企改革;沪股通;融资融券,17
600230.SH,600230,5,央企国企改革;国企改革;京津冀一体化;沪股通;融资融券,17
688046.SH,688046,5,专精特新;DeepSeek概念;回购增持再贷款概念;沪股通;融资融券,17
688256.SH,688256,12,中国AI 50;汽车芯片;先进封装;同花顺新质50;芯片概念;东数西算(算力);国产操作系统;数据中心;阿里巴巴概念;人工智能;沪股通;融资融券,17
300134.SZ,300134,35,智能穿戴;虚拟现实;小米概念;华为概念;5G;柔性屏(折叠屏);新型工业化;机器人概念;消费电子概念;华为手机;3D打印;芯片概念;特斯拉概念;军工;人工智能;空间计算;新能源汽车;苹果概念;粤港澳大湾区;6G概念;元宇宙;新型烟草(电子烟);工业母机;创投;职业教育;在线教育;云游戏;AIGC概念;锂电池概念;文化传媒概念;氢能源;国企改革;深股通;股权转让(并购重组);融资融券,33
002245.SZ,002245,20,钠离子电池;固态电池;锂电池概念;两轮车;储能;MiniLED;人形机器人;芯片概念;飞行汽车(eVTOL);小米概念;机器人概念;智能家居;海峡两岸;一带一路;无人机;金属镍;创投;数据中心;深股通;融资融券,33
300981.SZ,300981,9,宠物经济;医疗器械概念;智能医疗;核污染防治;人民币贬值受益;专精特新;国企改革;融资融券;深股通,33
601216.SH,601216,19,煤化工概念;煤炭概念;水泥概念;可降解塑料;天然气;绿色电力;参股券商;参股银行;氢能源;西部大开发;互联网金融;统一大市场;数字经济;航运概念;阿里巴巴概念;智能物流;生物疫苗;沪股通;融资融券,17
002636.SZ,002636,6,PCB概念;2025年报预增;消毒剂;医疗器械概念;深股通;融资融券,33
688700.SH,688700,11,PCB概念;PET铜箔;华为手机;芯片概念;专精特新;2025年报预增;固态电池;光伏概念;高端装备;融资融券;沪股通,17
300429.SZ,300429,8,光刻胶;先进封装;PCB概念;芯片概念;专精特新;创投;深股通;融资融券,33
301551.SZ,301551,14,短剧游戏;文化传媒概念;虚拟数字人;AIGC概念;抖音概念(字节概念);在线教育;百度概念;人工智能;智能音箱;智能医疗;华为概念;国企改革;深股通;融资融券,33
603113.SH,603113,5,煤化工概念;煤炭概念;氢能源;沪股通;融资融券,17
603863.SH,603863,1,粤港澳大湾区,17
300522.SZ,300522,8,光刻胶;PCB概念;染料;5G;石墨烯;固态电池;储能;股权转让(并购重组),33
300019.SZ,300019,25,有机硅概念;固态电池;锂电池概念;宁德时代概念;硅能源;比亚迪概念;芯片概念;新能源汽车;光伏概念;小米概念;5G;可控核聚变;长安汽车概念;核电;无人机;军工;高铁;商业航天;特高压;水利;装配式建筑;西部大开发;雄安新区;深股通;融资融券,33
000593.SZ,000593,10,青蒿素;信托概念;天然气;股权转让(并购重组);西部大开发;碳中和;地下管网;氢能源;储能;融资融券,33
300265.SZ,300265,14,柔性直流输电;特高压;成飞概念;智能电网;大飞机;军民融合;商业航天;军工;海工装备;风电;光纤概念;光伏概念;5G;机器人概念,33
600256.SH,600256,12,页岩气;俄乌冲突概念;煤炭概念;天然气;煤化工概念;新疆振兴;氢能源;碳中和;融资融券;西部大开发;一带一路;沪股通,17
300437.SZ,300437,10,磷化工;消毒剂;土壤修复;碳中和;净水概念;污水处理;新型城镇化;PPP概念;工业互联网;融资融券,33
301500.SZ,301500,16,黄金概念;金属锌;金属铜;小金属概念;金属镍;金属回收;汽车拆解概念;广东自贸区;固废处理;碳中和;2025年报预增;DeepSeek概念;粤港澳大湾区;比亚迪概念;深股通;融资融券,33
603239.SH,603239,8,华为汽车;长安汽车概念;人形机器人;比亚迪概念;新能源汽车;机器人概念;回购增持再贷款概念;国企改革,17
002360.SZ,002360,3,可降解塑料;民爆概念;光伏概念,33
300792.SZ,300792,14,快手概念;小红书概念;拼多多概念;AIGC概念;虚拟数字人;抖音概念(字节概念);AI智能体;阿里巴巴概念;腾讯概念;人工智能;网红经济;AI应用;跨境电商;深股通,33
688625.SH,688625,3,专精特新;沪股通;融资融券,17
002183.SZ,002183,39,卫星导航;商业航天;存储芯片;芯片概念;5G;无人机;消费电子概念;东数西算(算力);低空经济;信创;华为概念;数据中心;粤港澳大湾区;人工智能;国产操作系统;云计算;锂电池概念;创投;金属回收;DeepSeek概念;华为鲲鹏;新能源汽车;储能;一带一路;智能物流;充电桩;鸿蒙概念;深圳国企改革;国企改革;智能医疗;冷链物流;统一大市场;物业管理;跨境支付(CIPS);乳业;医药电商;深股通;融资融券;白酒概念,33
000930.SZ,000930,12,玉米;粮食概念;生态农业;代糖概念;可降解塑料;碳交易;国企改革;央企国企改革;白酒概念;深股通;融资融券;中字头股票,33
688628.SH,688628,8,芯片概念;人民币贬值受益;PM2.5;光伏概念;核污染防治;AI智能体;DeepSeek概念;融资融券,17
002950.SZ,002950,7,医药电商;医美概念;医疗器械概念;三胎概念;人民币贬值受益;回购增持再贷款概念;深股通,33
600149.SH,600149,4,雄安新区;京津冀一体化;国企改革;物业管理,17
603477.SH,603477,8,猪肉;养鸡;西部大开发;回购增持再贷款概念;AI应用;比亚迪概念;沪股通;融资融券,17
301256.SZ,301256,11,光刻胶;芯片概念;消毒剂;化肥;光伏概念;净水概念;专精特新;西部大开发;污水处理;深股通;融资融券,33
600389.SH,600389,6,草甘膦;磷化工;乡村振兴;2025年报预增;融资融券;沪股通,17
301035.SZ,301035,6,草甘膦;回购增持再贷款概念;2025年报预增;人民币贬值受益;深股通;融资融券,33
000617.SZ,000617,18,信托概念;跨境支付(CIPS);数字货币;期货概念;同花顺中特估100;新疆振兴;参股券商;碳中和;深股通;国企改革;创投;氢能源;参股银行;西部大开发;可控核聚变;一带一路;中字头股票;融资融券,33
301141.SZ,301141,11,稀土永磁;5G;消费电子概念;智能音箱;专精特新;2025年报预增;机器人概念;新能源汽车;一带一路;深股通;融资融券,33
603629.SH,603629,14,算力租赁;东数西算(算力);液冷服务器;英伟达概念;云计算;腾讯概念;华为概念;芯片概念;消费电子概念;小米概念;军工;OLED;2025年报预增;沪股通,17
300119.SZ,300119,11,动物疫苗;禽流感;合成生物;宠物经济;消毒剂;天津自贸区;回购增持再贷款概念;绿色电力;京津冀一体化;AI应用;深股通,33
688369.SH,688369,19,财税数字化;AIGC概念;ERP概念;AI智能体;云办公;智慧政务;云计算;信创;数据要素;鸿蒙概念;百度概念;阿里巴巴概念;区块链;DeepSeek概念;人工智能;智慧城市;华为概念;专精特新;融资融券,17
600610.SH,600610,5,国企改革;西部大开发;沪股通;中字头股票;融资融券,17
603222.SH,603222,8,医美概念;创新药;细胞免疫治疗;民营医院;幽门螺杆菌概念;医疗器械概念;回购增持再贷款概念;融资融券,17
002386.SZ,002386,15,磷化工;钛白粉概念;水泥概念;煤炭概念;西部大开发;锂电池概念;绿色电力;氢能源;国企改革;固态电池;回购增持再贷款概念;宁德时代概念;储能;融资融券;深股通,33
300057.SZ,300057,19,锂电池概念;固态电池;PET铜箔;钠离子电池;宁德时代概念;超级电容;建筑节能;柔性屏(折叠屏);比亚迪概念;光伏概念;OLED;储能;小米概念;华为概念;DeepSeek概念;AI智能体;虚拟数字人;深股通;融资融券,33
600989.SH,600989,11,煤化工概念;煤炭概念;POE胶膜;氢能源;碳中和;西部大开发;2025年报预增;DeepSeek概念;跨境电商;融资融券;沪股通,17
688553.SH,688553,6,创新药;重组蛋白;CRO概念;仿制药一致性评价;西部大开发;融资融券,17
001309.SZ,001309,15,存储芯片;中芯国际概念;AI PC;芯片概念;2025年报预增;汽车电子;智能穿戴;专精特新;共封装光学(CPO);粤港澳大湾区;人民币贬值受益;数据中心;人工智能;融资融券;深股通,33
000731.SZ,000731,10,化肥;磷化工;民爆概念;央企国企改革;天然气;国企改革;西部大开发;乡村振兴;融资融券;AI智能体,33
600486.SH,600486,8,草甘膦;央企国企改革;乡村振兴;国企改革;同花顺出海50;人民币贬值受益;沪股通;融资融券,17
002858.SZ,002858,16,体育产业;职业教育;NFT概念;在线教育;IP经济(谷子经济);Web3.0;AIGC概念;数字经济;多模态AI;百度概念;人工智能;虚拟现实;低空经济;无人驾驶;回购增持再贷款概念;AI应用,33
603938.SH,603938,10,光纤概念;存储芯片;芯片概念;有机硅概念;海峡两岸;光伏概念;京津冀一体化;硅能源;沪股通;融资融券,17
002733.SZ,002733,22,钠离子电池;固态电池;锂电池概念;石墨烯;储能;5G;动力电池回收;燃料电池;新能源汽车;数据中心;专精特新;氢能源;军工;无人机;粤港澳大湾区;人民币贬值受益;一带一路;东数西算(算力);阿里巴巴概念;百度概念;深股通;融资融券,33
688419.SH,688419,7,先进封装;存储芯片;芯片概念;高端装备;人民币贬值受益;绿色电力;融资融券,17
002648.SZ,002648,12,环氧丙烷;煤化工概念;丙烯酸;POE胶膜;氢能源;锂电池概念;燃料电池;长三角一体化;互联网金融;融资融券;深股通;三胎概念,33
002165.SZ,002165,6,环氧丙烷;水泥概念;建筑节能;医疗器械概念;深股通;融资融券,33
603790.SH,603790,3,染料;换电概念;股权转让(并购重组),17
603186.SH,603186,17,先进封装;PCB概念;芯片概念;消费电子概念;MiniLED;5G;毫米波雷达;6G概念;华为概念;海峡两岸;石墨烯;储能;固态电池;锂电池概念;冷链物流;绿色电力;沪股通,17
605399.SH,605399,4,有机硅概念;硅能源;专精特新;融资融券,17
688449.SH,688449,5,存储芯片;汽车芯片;芯片概念;沪股通;融资融券,17
920402.BJ,920402,7,融资融券;芯片概念;碳中和;硅能源;氢能源;国企改革;光伏概念,151
002015.SZ,002015,31,虚拟电厂;华为数字能源;抽水蓄能;碳交易;智能电网;生物质能发电;绿色电力;光伏概念;风电;储能;换电概念;碳中和;算力租赁;充电桩;数据中心;高压快充;东数西算(算力);英伟达概念;蚂蚁集团概念;华为概念;水利;锂电池概念;百度概念;区块链;宁德时代概念;动力电池回收;数字经济;新能源汽车;长三角一体化;融资融券;深股通,33
301287.SZ,301287,15,足球概念;体育产业;跨境电商;人民币贬值受益;养老概念;冰雪产业;一带一路;物联网;消费电子概念;参股银行;人工智能;DeepSeek概念;AI智能体;AIGC概念;融资融券,33
002578.SZ,002578,6,国企改革;海峡两岸;宁德时代概念;光伏概念;新能源汽车;5G,33
688485.SH,688485,3,专精特新;京津冀一体化;融资融券,17
600409.SH,600409,10,有机硅概念;消毒剂;钠离子电池;绿色电力;光伏概念;国企改革;京津冀一体化;华为概念;沪股通;融资融券,17
920970.BJ,920970,4,融资融券;食品安全;猪肉;专精特新,151
002783.SZ,002783,13,化肥;民爆概念;生态农业;氢能源;燃料电池;国企改革;光伏概念;煤化工概念;新能源汽车;军工;军民融合;股权转让(并购重组);融资融券,33
601866.SH,601866,12,航运概念;同花顺中特估100;参股银行;国企改革;上海自贸区;回购增持再贷款概念;央企国企改革;沪股通;融资融券;储能;数字经济;中字头股票,17
002554.SZ,002554,15,俄乌冲突概念;天然气;股权转让(并购重组);氢能源;地下管网;国企改革;碳中和;碳交易;一带一路;海工装备;污水处理;垃圾分类;人民币贬值受益;云计算;融资融券,33
000553.SZ,000553,6,草甘膦;国企改革;央企国企改革;人民币贬值受益;深股通;融资融券,33
000065.SZ,000065,16,煤炭概念;同花顺中特估100;超超临界发电;绿色电力;央企国企改革;风电;新型城镇化;国企改革;水利;一带一路;智能物流;无人机;人民币贬值受益;新能源汽车;深股通;融资融券,33
600241.SH,600241,2,国企改革;锂电池概念,17
002976.SZ,002976,14,长安汽车概念;特斯拉概念;比亚迪概念;新能源汽车;飞行汽车(eVTOL);无人驾驶;智能座舱;汽车电子;车联网(车路协同);富士康概念;5G;储能;锂电池概念;一带一路,33
