market_code,股票代码,code,所属概念数量,所属概念
33,300879.SZ,300879,13,减速器;农机;人民币贬值受益;跨境电商;机器人概念;锂电池概念;乡村振兴;物联网;储能;氢能源;深股通;股权转让(并购重组);融资融券
33,300955.SZ,300955,3,海峡两岸;三胎概念;融资融券
33,002219.SZ,002219,11,AI应用;民营医院;智能医疗;养老概念;AI智能体;三胎概念;DeepSeek概念;人工智能;西部大开发;深股通;融资融券
151,920576.BJ,920576,9,可控核聚变;商业航天;核电;西部大开发;海工装备;融资融券;国企改革;卫星导航;专精特新
17,600935.SH,600935,5,水泥概念;可降解塑料;硅能源;国企改革;沪股通
33,002759.SZ,002759,10,钠离子电池;氟化工概念;固态电池;磷化工;宁德时代概念;锂电池概念;比亚迪概念;家用电器;深股通;融资融券
17,688157.SH,688157,25,PCB概念;华为手机;苹果概念;柔性屏(折叠屏);MR(混合现实);消费电子概念;AI眼镜;AI手机;小米汽车;小米概念;智能穿戴;无人驾驶;低空经济;比亚迪概念;专精特新;飞行汽车(eVTOL);新能源汽车;特斯拉概念;华为汽车;光刻胶;机器人概念;华为概念;固态电池;沪股通;融资融券
17,688737.SH,688737,11,碳纤维;专精特新;新能源汽车;长安汽车概念;燃料电池;储能;固态电池;氢能源;西部大开发;钠离子电池;融资融券
33,000899.SZ,000899,8,抽水蓄能;超超临界发电;绿色电力;核电;储能;国企改革;融资融券;深股通
33,300342.SZ,300342,15,太赫兹;军工信息化;卫星导航;商业航天;6G概念;军民融合;军工;无人机;低空经济;华为概念;无人驾驶;家用电器;国企改革;深股通;融资融券
33,300483.SZ,300483,3,俄乌冲突概念;天然气;股权转让(并购重组)
33,300497.SZ,300497,12,有机硅概念;锂电池概念;CRO概念;人造肉;创新药;肝炎概念;光刻胶;猴痘概念;合成生物;化肥;融资融券;深股通
33,002108.SZ,002108,16,钠离子电池;固态电池;锂电池概念;参股银行;国企改革;宁德时代概念;雄安新区;地下管网;核电;储能;比亚迪概念;物联网;新能源汽车;深股通;融资融券;股权转让(并购重组)
17,603334.SH,603334,6,注册制次新股;专精特新;生物质能发电;化肥;融资融券;新股与次新股
17,600396.SH,600396,9,绿色电力;碳交易;超超临界发电;碳中和;风电;国企改革;氢能源;央企国企改革;海工装备
17,603229.SH,603229,6,肝炎概念;创新药;CRO概念;人民币贬值受益;融资融券;沪股通
33,002209.SZ,002209,7,新型工业化;粤港澳大湾区;机器人概念;工业互联网;污水处理;2025年报预增;消毒剂
17,600098.SH,600098,15,超超临界发电;天然气;可燃冰;绿色电力;抽水蓄能;风电;氢能源;国企改革;回购增持再贷款概念;广东自贸区;储能;充电桩;融资融券;粤港澳大湾区;沪股通
33,001283.SZ,001283,23,钠离子电池;固态电池;两轮车;动力电池回收;锂电池概念;新型烟草(电子烟);储能;人形机器人;比亚迪概念;新能源汽车;AI眼镜;小米概念;消费电子概念;智能穿戴;2025年报预增;AI PC;机器人概念;人民币贬值受益;粤港澳大湾区;数据中心;回购增持再贷款概念;人工智能;深股通
33,002240.SZ,002240,10,盐湖提锂;小金属概念;固态电池;锂电池概念;宁德时代概念;比亚迪概念;回购增持再贷款概念;西部大开发;深股通;融资融券
33,002203.SZ,002203,15,金属镍;金属铜;小金属概念;钒电池;PET铜箔;锂电池概念;液冷服务器;固态电池;回购增持再贷款概念;特斯拉概念;华为概念;参股银行;绿色电力;深股通;融资融券
33,300072.SZ,300072,13,页岩气;天然气;氢能源;碳中和;PM2.5;京津冀一体化;国企改革;化肥;生态农业;乡村振兴;人民币贬值受益;深股通;融资融券
33,002738.SZ,002738,10,小金属概念;金属铜;稀土永磁;金属回收;动力电池回收;锂电池概念;特斯拉概念;一带一路;融资融券;深股通
17,688550.SH,688550,13,光刻胶;2025三季报预增;人民币贬值受益;减肥药;创新药;OLED;乡村振兴;西部大开发;国企改革;钙钛矿电池;股权转让(并购重组);沪股通;融资融券
33,301327.SZ,301327,16,BC电池;钠离子电池;固态电池;光伏概念;光伏建筑一体化;锂电池概念;储能;智能电网;特斯拉概念;新能源汽车;机器人概念;露营经济;人民币贬值受益;网红经济;深股通;融资融券
17,600167.SH,600167,11,生物质能发电;绿色电力;参股保险;氢能源;创投;人工智能;华为概念;文化传媒概念;AI智能体;沪股通;融资融券
17,600382.SH,600382,9,参股银行;PPP概念;2025年报预增;2025三季报预增;新能源汽车;白酒概念;无人机;小金属概念;股权转让(并购重组)
17,603819.SH,603819,4,新能源汽车;安防;风电;股权转让(并购重组)
33,000990.SZ,000990,16,煤化工概念;POE胶膜;NMN概念;氢能源;人造肉;碳中和;工业大麻;燃料电池;国企改革;合成生物;OLED;民营医院;小米概念;医美概念;深股通;融资融券
33,301373.SZ,301373,3,光伏概念;专精特新;融资融券
33,000762.SZ,000762,10,盐湖提锂;小金属概念;金属铜;锂电池概念;化肥;西部大开发;央企国企改革;国企改革;深股通;融资融券
17,688125.SH,688125,14,光刻胶;苹果概念;宁德时代概念;消费电子概念;工业母机;汽车电子;专精特新;比亚迪概念;机器视觉;新型工业化;一带一路;机器人概念;人形机器人;融资融券
17,603016.SH,603016,2,特高压;国企改革
17,688143.SH,688143,11,光纤概念;共封装光学(CPO);汽车热管理;芯片概念;军工;特高压;海工装备;专精特新;DeepSeek概念;沪股通;融资融券
17,603659.SH,603659,17,石墨电极;钠离子电池;固态电池;宁德时代概念;锂电池概念;PET铜箔;PVDF概念;特斯拉概念;储能;2025年报预增;沪股通;氢能源;新能源汽车;消费电子概念;芯片概念;碳中和;融资融券
17,600722.SH,600722,5,煤化工概念;国企改革;融资融券;京津冀一体化;风电
33,300205.SZ,300205,17,ST板块;跨境支付(CIPS);数字货币;量子科技;ETC;5G;移动支付;网络安全;华为概念;财税数字化;数据安全;物联网;区块链;互联网金融;人工智能;专精特新;华为鲲鹏
33,300040.SZ,300040,17,抽水蓄能;虚拟电厂;智能电网;生物质能发电;光伏建筑一体化;绿色电力;风电;充电桩;光伏概念;储能;高压快充;碳中和;垃圾分类;黑龙江自贸区;数据中心;高铁;华为概念
17,600719.SH,600719,1,国企改革
33,300245.SZ,300245,21,华为鲲鹏;智慧政务;财税数字化;ChatGPT概念;信创;数据要素;东数西算(算力);阿里巴巴概念;区块链;国产操作系统;人脸识别;互联网金融;数字经济;智慧城市;华为概念;数据中心;5G;机器人概念;长三角一体化;深股通;融资融券
33,000966.SZ,000966,15,超超临界发电;生物质能发电;抽水蓄能;绿色电力;碳交易;虚拟电厂;风电;光热发电;碳中和;储能;央企国企改革;国企改革;创投;融资融券;深股通
17,603629.SH,603629,14,算力租赁;东数西算(算力);液冷服务器;云计算;英伟达概念;腾讯概念;华为概念;芯片概念;消费电子概念;军工;小米概念;OLED;2025年报预增;沪股通
33,300221.SZ,300221,15,无人机;碳纤维;3D打印;5G;机器人概念;消费电子概念;创投;新能源汽车;新型烟草(电子烟);OLED;PCB概念;网约车;可降解塑料;2025年报预增;NMN概念
17,601011.SH,601011,12,煤炭概念;煤化工概念;石墨电极;氢能源;碳中和;石墨烯;黑龙江自贸区;锂电池概念;消费电子概念;AI眼镜;沪股通;融资融券
33,003036.SZ,003036,7,新型工业化;共同富裕示范区;机器人概念;高端装备;参股银行;锂电池概念;固态电池
33,002408.SZ,002408,7,环氧丙烷;可降解塑料;氢能源;国企改革;碳纤维;深股通;融资融券
33,301252.SZ,301252,9,液冷服务器;汽车热管理;空气能热泵;新能源汽车;数据中心;专精特新;长安汽车概念;冷链物流;融资融券
22,600136.SH,600136,4,ST板块;物业管理;文化传媒概念;国企改革
33,002541.SZ,002541,7,同花顺中特估100;装配式建筑;PPP概念;光伏概念;机器人概念;融资融券;深股通
33,002896.SZ,002896,9,减速器;人形机器人;新型工业化;新能源汽车;机器人概念;长三角一体化;共同富裕示范区;融资融券;深股通
17,600681.SH,600681,7,天然气;氢能源;京津冀一体化;机器人概念;人形机器人;沪股通;融资融券
33,002497.SZ,002497,16,固态电池;锂电池概念;宁德时代概念;民爆概念;2025三季报预增;特斯拉概念;雅下水电概念;2025年报预增;比亚迪概念;西部大开发;深股通;工业互联网;机器人概念;军工;军民融合;融资融券
33,002630.SZ,002630,13,新型城镇化;ST板块;核电;光热发电;碳中和;PPP概念;储能;一带一路;西部大开发;固废处理;生物质能发电;绿色电力;超超临界发电
33,300005.SZ,300005,21,足球概念;体育产业;露营经济;冰雪产业;商业航天;京津冀一体化;三胎概念;机器人概念;跨境电商;柔性屏(折叠屏);智能穿戴;MiniLED;消费电子概念;AI眼镜;芯片概念;MicroLED概念;OLED;汽车芯片;MCU芯片;融资融券;深股通
17,688226.SH,688226,14,共封装光学(CPO);智能电网;数据中心;专精特新;储能;风电;特斯拉概念;光伏概念;华为概念;东数西算(算力);HJT电池;钠离子电池;沪股通;融资融券
33,002455.SZ,002455,13,磷化工;石墨电极;金属回收;固态电池;钠离子电池;锂电池概念;动力电池回收;宁德时代概念;光刻胶;储能;新能源汽车;深股通;融资融券
33,000669.SZ,000669,2,ST板块;天然气
33,002611.SZ,002611,25,人形机器人;新型工业化;机器人概念;3D打印;高端装备;无人机;军工;工业互联网;毫米波雷达;智能物流;可控核聚变;物联网;华为概念;粤港澳大湾区;核电;人民币贬值受益;人工智能;英伟达概念;水利;数字经济;多模态AI;一带一路;牙科医疗;深股通;融资融券
33,002569.SZ,002569,3,ST板块;股权转让(并购重组);国企改革
33,001270.SZ,001270,12,6G概念;卫星导航;商业航天;军工信息化;军民融合;第三代半导体;军工;芯片概念;5G;专精特新;共同富裕示范区;ST板块
22,603843.SH,603843,22,赛马概念;ST板块;特色小镇;盐湖提锂;PPP概念;固废处理;光伏概念;新型城镇化;地下管网;充电桩;西部大开发;水利;算力租赁;东数西算(算力);一带一路;旅游概念;雅下水电概念;乡村振兴;智慧政务;小金属概念;金属铜;金属锌
17,600792.SH,600792,4,煤炭概念;煤化工概念;国企改革;西部大开发
33,000908.SZ,000908,9,ST板块;眼科医疗;流感;基因测序;创新药;仿制药一致性评价;医美概念;医疗器械概念;消毒剂
22,600107.SH,600107,4,ST板块;医药电商;储能;天然气
33,002199.SZ,002199,2,ST板块;股权转让(并购重组)
22,603429.SH,603429,4,烟草;新型烟草(电子烟);ST板块;储能
17,688268.SH,688268,14,俄乌冲突概念;氟化工概念;光刻机;中芯国际概念;存储芯片;光刻胶;氢能源;第三代半导体;芯片概念;核电;粤港澳大湾区;专精特新;沪股通;融资融券
33,002620.SZ,002620,8,ST板块;光伏概念;光伏建筑一体化;建筑节能;绿色电力;新型城镇化;装配式建筑;ERP概念
33,000909.SZ,000909,14,国企改革;换电概念;物业管理;充电桩;共同富裕示范区;ST板块;智慧城市;消费电子概念;车联网(车路协同);无人驾驶;5G;元宇宙;智慧政务;云办公
17,688411.SH,688411,13,固态电池;华为数字能源;储能;智能电网;充电桩;数据中心;新能源汽车;专精特新;智能物流;华为概念;DeepSeek概念;沪股通;融资融券
33,002808.SZ,002808,11,医疗器械概念;ST板块;安防;数据安全;网络安全;信创;数字经济;区块链;燃料电池;NFT概念;光伏概念
17,603992.SH,603992,8,C2M概念;福建自贸区;养老概念;智能家居;人形机器人;人民币贬值受益;机器人概念;沪股通
17,688314.SH,688314,8,牙科医疗;医美概念;3D打印;医疗器械概念;PEEK材料;专精特新;西部大开发;融资融券
33,000531.SZ,000531,15,绿色电力;虚拟电厂;氢能源;储能;国企改革;化债概念(AMC概念);回购增持再贷款概念;锂电池概念;2025三季报预增;燃料电池;粤港澳大湾区;2025年报预增;无人驾驶;融资融券;深股通
33,002528.SZ,002528,25,ST板块;国企改革;智慧灯杆;深圳国企改革;国资云;智慧城市;数字经济;人民币贬值受益;智能医疗;数字孪生;区块链;物联网;智能家居;安防;东数西算(算力);数据要素;人工智能;智慧政务;华为概念;人脸识别;军民融合;华为鲲鹏;信创;机器视觉;5G
17,603017.SH,603017,18,商业航天;空间计算;低空经济;智慧城市;数字孪生;新型工业化;虚拟现实;元宇宙;建筑节能;新型城镇化;数据中心;独角兽概念;多模态AI;装配式建筑;DeepSeek概念;长三角一体化;光伏建筑一体化;一带一路
33,002792.SZ,002792,26,卫星导航;商业航天;6G概念;低空经济;WiFi 6;毫米波雷达;数字乡村;人工智能;华为概念;无人驾驶;5G;铜缆高速连接;换电概念;F5G概念;虚拟电厂;粤港澳大湾区;汽车电子;一带一路;储能;华为汽车;消费电子概念;中俄贸易概念;共封装光学(CPO);乡村振兴;深股通;融资融券
33,300885.SZ,300885,15,商业航天;减速器;卫星导航;人形机器人;低空经济;机器人概念;消费电子概念;新能源汽车;专精特新;海峡两岸;充电桩;人民币贬值受益;一带一路;深股通;融资融券
17,601869.SH,601869,22,光纤概念;共封装光学(CPO);铜缆高速连接;特高压;第三代半导体;风电;智能电网;5G;太赫兹;新能源汽车;海工装备;芯片概念;一带一路;专精特新;人形机器人;工业互联网;机器人概念;量子科技;创投;沪股通;抖音概念(字节概念);融资融券
17,600428.SH,600428,13,航运概念;中字头股票;自由贸易港;沪股通;高股息精选;国企改革;回购增持再贷款概念;央企国企改革;人民币贬值受益;粤港澳大湾区;DeepSeek概念;比亚迪概念;融资融券
33,002787.SZ,002787,7,2025年报预增;锂电池概念;长三角一体化;海峡两岸;芯片概念;食品安全;创投
17,688663.SH,688663,13,华为数字能源;光伏概念;数据中心;储能;核电;可控核聚变;风电;光热发电;阿里巴巴概念;稀土永磁;国企改革;融资融券;股权转让(并购重组)
33,002812.SZ,002812,15,固态电池;宁德时代概念;锂电池概念;储能;同花顺漂亮100;比亚迪概念;新能源汽车;充电桩;烟草;专精特新;消费电子概念;深股通;西部大开发;人工智能;融资融券
17,600666.SH,600666,17,算力租赁;数据确权;云计算;东数西算(算力);Sora概念(文生视频);AIGC概念;数据要素;AI智能体;蚂蚁集团概念;DeepSeek概念;人工智能;OLED;高端装备;比亚迪概念;黑龙江自贸区;新疆振兴;沪股通
33,301329.SZ,301329,10,商业航天;海峡两岸;5G;卫星导航;消费电子概念;新能源汽车;光纤概念;光伏概念;储能;融资融券
33,000688.SZ,000688,12,金属铅;金属锌;金属铜;钛白粉概念;小金属概念;黄金概念;锂电池概念;2025年报预增;西部大开发;深股通;股权转让(并购重组);融资融券
33,300757.SZ,300757,22,共封装光学(CPO);光纤概念;BC电池;富士康概念;苹果概念;华为海思概念股;TOPCON电池;芯片概念;英伟达概念;HJT电池;数据中心;光伏概念;高端装备;新能源汽车;新型工业化;商业航天;量子科技;华为概念;工业互联网;股权转让(并购重组);融资融券;深股通
33,000809.SZ,000809,6,光伏建筑一体化;绿色电力;风电;氢能源;储能;摘帽
33,300335.SZ,300335,19,生物质能发电;固废处理;绿色电力;净水概念;PM2.5;天然气;空气能热泵;雄安新区;氢能源;生态农业;智能家居;创投;粤港澳大湾区;家用电器;光伏概念;锂电池概念;物联网;人工智能;工业互联网
33,000608.SZ,000608,6,粤港澳大湾区;ST板块;物业管理;西部大开发;租售同权;股权转让(并购重组)
33,000670.SZ,000670,10,存储芯片;智能家居;芯片概念;小米概念;人民币贬值受益;海峡两岸;机器人概念;虚拟现实;无人机;深股通
33,002468.SZ,002468,10,统一大市场;乡村振兴;长三角一体化;智能物流;数字经济;阿里巴巴概念;人工智能;回购增持再贷款概念;深股通;融资融券
33,002058.SZ,002058,11,长安汽车概念;新型工业化;特斯拉概念;新能源汽车;创投;传感器;ST板块;石墨烯;锂电池概念;固态电池;股权转让(并购重组)
33,300561.SZ,300561,15,语音技术;物联网;人脸识别;粤港澳大湾区;网络安全;人工智能;信创;数据安全;ST板块;百度概念;区块链;互联网金融;AI应用;物业管理;股权转让(并购重组)
33,002693.SZ,002693,7,仿制药一致性评价;肝炎概念;辅助生殖;ST板块;海南自贸区;CRO概念;阿尔茨海默概念
151,920779.BJ,920779,7,高股息精选;宁德时代概念;融资融券;比亚迪概念;消费电子概念;锂电池概念;固态电池
33,300432.SZ,300432,22,盐湖提锂;锂电池概念;储能;宁德时代概念;减速器;人形机器人;机器人概念;比亚迪概念;长安汽车概念;华为概念;军工;低空经济;小米概念;新能源汽车;华为汽车;小米汽车;汽车热管理;磷化工;深股通;西部大开发;股权转让(并购重组);融资融券
17,600249.SH,600249,7,三胎概念;医药电商;流感;参股银行;参股券商;国企改革;西部大开发
17,600191.SH,600191,7,代糖概念;粮食概念;2025年报预增;西部大开发;参股银行;参股券商;股权转让(并购重组)
33,300897.SZ,300897,14,传感器;专精特新;净水概念;污水处理;物联网;水利;华为概念;工业互联网;智慧城市;地下管网;DeepSeek概念;数据要素;股权转让(并购重组);融资融券
17,600188.SH,600188,9,煤炭概念;煤化工概念;同花顺漂亮100;沪股通;融资融券;小金属概念;国企改革;风电;参股银行
33,002214.SZ,002214,13,房屋检测;ST板块;机器人概念;芯片概念;传感器;无人机;无人驾驶;军工;智能电网;安防;军民融合;商业航天;卫星导航
17,603977.SH,603977,21,军民融合;军工信息化;航空发动机;民爆概念;军工;商业航天;无人机;3D打印;芯片概念;高铁;雅下水电概念;小金属概念;工业互联网;国企改革;数字经济;DeepSeek概念;虚拟现实;智慧政务;元宇宙;AI应用;沪股通
17,600236.SH,600236,7,风电;央企国企改革;绿色电力;国企改革;西部大开发;沪股通;融资融券
33,003043.SZ,003043,13,光刻机;芯片概念;专精特新;智能电网;高铁;高端装备;储能;智能物流;数字经济;固态电池;医疗器械概念;深股通;股权转让(并购重组)
151,920021.BJ,920021,27,京津冀一体化;先进封装;AI应用;6G概念;卫星导航;冰雪产业;体育产业;商业航天;虚拟数字人;Sora概念(文生视频);毫米波雷达;知识产权保护;足球概念;智能穿戴;芯片概念;短剧游戏;腾讯概念;文化传媒概念;融资融券;人工智能;低空经济;AIGC概念;军工;5G;军民融合;DeepSeek概念;AI智能体
17,603373.SH,603373,8,安防;职业教育;无人机;低空经济;阿里巴巴概念;国企改革;沪股通;融资融券
33,301349.SZ,301349,11,钠离子电池;固态电池;锂电池概念;储能;高压快充;光伏概念;钒电池;专精特新;碳纤维;光纤概念;融资融券
33,300733.SZ,300733,15,成飞概念;大飞机;航空发动机;军民融合;军工;无人机;机器人概念;长安汽车概念;新能源汽车;比亚迪概念;小米概念;氢能源;西部大开发;2025年报预增;深股通
17,688062.SH,688062,6,重组蛋白;创新药;智能医疗;回购增持再贷款概念;沪股通;融资融券
33,000547.SZ,000547,33,军工信息化;商业航天;卫星导航;军民融合;军工;无人机;低空经济;MR(混合现实);5G;芯片概念;安防;华为欧拉;网络安全;数据安全;海工装备;信创;华为概念;智慧政务;华为鲲鹏;虚拟现实;多模态AI;人工智能;海峡两岸;元宇宙;福建自贸区;数字经济;DeepSeek概念;央企国企改革;风电;乡村振兴;国企改革;深股通;融资融券
33,002407.SZ,002407,22,钠离子电池;氟化工概念;固态电池;PVDF概念;动力电池回收;锂电池概念;硅能源;特斯拉概念;储能;比亚迪概念;中芯国际概念;新能源汽车;回购增持再贷款概念;第三代半导体;工业互联网;芯片概念;存储芯片;融资融券;深股通;创投;数字孪生;独角兽概念
17,688032.SH,688032,7,光伏概念;储能;回购增持再贷款概念;专精特新;人民币贬值受益;沪股通;融资融券
